tg,drive_amp,detune,f_200
164.016171,0.008872,0.014558,-3.72838862
164.993223,0.010326,0.021263,-3.63009924
165.97014,0.008755,0.014387,-3.77860956
167.008638,0.008688,0.014313,-3.80036261
167.990436,0.008635,0.014232,-3.81965209
169.04253,0.010055,0.020801,-3.68972539
170.003515,0.009972,0.020606,-3.69774262
170.994761,0.008461,0.013986,-3.84467749
172.010156,0.008402,0.013907,-3.85557768
172.995679,0.008348,0.013803,-3.87652861
173.991666,0.008293,0.013735,-3.9089449
175.001289,0.00824,0.013667,-3.94367528
175.997357,0.008188,0.013583,-3.9805936
177.010894,0.008138,0.013506,-4.01418856
177.992806,0.008084,0.013432,-4.05555222
179.01285,0.008027,0.013347,-4.10096654
180.0098,0.00798,0.013271,-4.15554908
181.016743,0.00793,0.013205,-4.21753438
181.995486,0.00788,0.01313,-4.27913881
182.993735,0.007833,0.013058,-4.33576188
183.995702,0.007784,0.012991,-4.37603814
184.996886,0.007737,0.012918,-4.39506913
186.001955,0.00769,0.012857,-4.40146334
186.995923,0.007643,0.012787,-4.40900027
188.012653,0.007595,0.012713,-4.41989511
188.993283,0.007552,0.012654,-4.42988437
190.012319,0.007507,0.012585,-4.42835964
191.00476,0.007463,0.012516,-4.41267933
192.00798,0.007418,0.012453,-4.39033218
192.98821,0.007377,0.012392,-4.37020936
194.002728,0.007333,0.012326,-4.3566619
194.992779,0.007293,0.012272,-4.34643608
196.000313,0.009444,0.022985,-3.7815885
197.014357,0.007207,0.012137,-4.34054504
197.986209,0.021154,0.073061,-4.4418318
198.984102,0.007127,0.012015,-4.30560441
199.990787,0.007086,0.011958,-4.27838585
