tg,drive_amp,detune,f_200
158.048351,0.009671,-0.087773,-3.32184371
159.042996,0.008573,-0.060005,-3.97533637
159.99901,0.008536,-0.059899,-4.0236609
161.004395,0.008503,-0.059808,-4.08622058
162.005838,0.008477,-0.059757,-4.15276627
163.009372,0.008439,-0.059649,-4.209094
164.025036,0.008412,-0.059583,-4.25731827
165.008567,0.00838,-0.059497,-4.28606601
165.963883,0.008354,-0.059435,-4.30508102
167.010032,0.008319,-0.059336,-4.31980152
167.993845,0.008285,-0.059236,-4.3266547
169.040616,0.008251,-0.059141,-4.33170946
170.000438,0.008224,-0.059075,-4.33005025
170.991429,0.008192,-0.05899,-4.32752654
172.010529,0.008161,-0.058912,-4.32648523
172.996487,0.008131,-0.058825,-4.33334115
173.996697,0.008097,-0.058728,-4.33695438
174.997415,0.008073,-0.058677,-4.33974613
175.99825,0.00805,-0.058634,-4.33464383
177.004449,0.020472,-0.060349,-2.28839262
177.989813,0.008001,-0.058516,-4.30064233
179.01007,0.009036,-0.087486,-3.6892762
180.000137,0.011049,-0.055175,-4.03269241
181.011428,0.007929,-0.058368,-4.24802525
182.012736,0.007899,-0.058279,-4.24574123
182.997195,0.007888,-0.058283,-4.25920196
183.995827,0.007854,-0.058182,-4.30051211
185.009848,0.007833,-0.058136,-4.35925978
186.004797,0.007801,-0.058052,-4.46046848
187.002312,0.007773,-0.05797,-4.57745692
188.012212,0.007746,-0.057901,-4.70719627
189.001819,0.007729,-0.057884,-4.80663977
190.000105,0.007699,-0.057796,-4.82244071
190.992645,0.007675,-0.057737,-4.7526368
191.998135,0.007647,-0.057663,-4.64787915
192.993521,0.007619,-0.057589,-4.55687176
193.990281,0.007591,-0.057516,-4.49989272
194.992304,0.008625,-0.087313,-4.07312055
195.995144,0.007544,-0.057397,-4.49224597
196.995074,0.007519,-0.05733,-4.52415584
197.996979,0.0075,-0.057299,-4.56889587
198.982891,0.007481,-0.05726,-4.59866051
199.993085,0.007456,-0.057195,-4.59657095
