tg,drive_amp,detune,f_200,f_1000
129.070721,0.01172,0.018366,-2.9905725,-2.92532731
130.084681,0.011615,0.018234,-2.98990914,-2.93066666
130.992162,0.011523,0.018162,-2.99476991,-2.93184015
132.075088,0.011414,0.017943,-3.0081892,-2.96303846
133.039336,0.011315,0.01788,-3.02604034,-2.95438804
134.04404,0.011216,0.01771,-3.05347878,-3.00247298
134.944667,0.011126,0.017594,-3.08265647,-3.00913765
136.092276,0.011003,0.017408,-3.12530712,-3.00703518
137.091012,0.010911,0.017312,-3.16701504,-3.06970517
138.082992,0.010827,0.017209,-3.20933948,-3.1165899
138.956093,0.010746,0.0171,-3.24431531,-3.14962646
140.029224,0.010651,0.016991,-3.28098789,-3.20980019
141.011911,0.01056,0.016873,-3.30585599,-3.19782539
142.018324,0.010485,0.016776,-3.32485224,-3.27035638
142.96703,0.010398,0.016646,-3.33627458,-3.22827754
144.043172,0.010313,0.016563,-3.34601541,-3.29444792
144.999307,0.01024,0.016459,-3.34750207,-3.20529549
146.026626,0.010146,0.016335,-3.34513451,-3.24816665
146.987862,0.010081,0.016272,-3.33520096,-3.21314061
148.014861,0.009985,0.016116,-3.32744786,-3.24826355
149.00504,0.009903,0.015988,-3.31814918,-3.21711431
150.05425,0.00983,0.015909,-3.31990295,-3.13556312
150.996298,0.009767,0.015845,-3.32259866,-3.22739773
151.995423,0.009679,0.01572,-3.33197628,-3.22008308
153.000503,0.009614,0.015602,-3.34977449,-3.23936556
154.003702,0.009544,0.015508,-3.36938807,-3.27054611
155.033328,0.009466,0.01541,-3.39327889,-3.28963633
156.022816,0.009401,0.015319,-3.41959975,-3.29322311
157.003472,0.009333,0.015204,-3.45183039,-3.29754257
158.03957,0.009263,0.015107,-3.49200392,-3.27067367
159.044458,0.00919,0.015017,-3.53656193,-3.28089647
160.008577,0.009129,0.014917,-3.58213874,-3.31123055
161.006093,0.009063,0.014832,-3.62637174,-3.3732909
162.01007,0.009,0.014743,-3.665685,-3.30783047
163.019087,0.008938,0.014663,-3.6988802,-3.34620597
164.005209,0.008876,0.014574,-3.72840938,-3.25499801
165.010757,0.00881,0.014477,-3.75525995,-3.20597775
165.97334,0.008754,0.0144,-3.78001933,-3.42900574
167.008219,0.008692,0.014314,-3.80265157,-3.39483353
167.993224,0.008634,0.014231,-3.81971451,-3.28437834
169.039632,0.008573,0.01415,-3.83111236,-3.49377179
170.004681,0.008521,0.01407,-3.83740315,-3.56424606
171.004772,0.008458,0.013981,-3.84425884,-3.56334005
171.99241,0.008408,0.013908,-3.85639078,-3.43105058
172.988849,0.00835,0.013819,-3.87871544,-3.45243611
174.000117,0.008294,0.013737,-3.90956011,-3.40235805
174.998965,0.008242,0.013667,-3.94396993,-3.41049756
176.000245,0.00819,0.013584,-3.98000593,-3.37345965
177.005661,0.008136,0.013508,-4.01667239,-3.52069648
178.00529,0.008083,0.013425,-4.05598566,-3.61937725
179.002622,0.008031,0.013349,-4.10195472,-3.78083448
180.007637,0.007981,0.013274,-4.15544076,-3.75343227
181.016421,0.007929,0.013205,-4.21725259,-3.72985429
182.010007,0.00788,0.013127,-4.27986584,-3.70459594
182.997495,0.007831,0.013059,-4.336042,-3.79159791
184.007056,0.007784,0.012988,-4.3766425,-3.77594428
185.003435,0.007736,0.012922,-4.39573856,-3.80985936
185.990597,0.00769,0.012852,-4.40251635,-3.86797805
187.009155,0.007643,0.012779,-4.40777439,-3.4431565
188.012436,0.007596,0.01271,-4.41976552,-3.38723121
188.992337,0.007553,0.012652,-4.4304175,-3.49050133
190.000742,0.007508,0.012583,-4.42844165,-3.70068997
191.00684,0.007461,0.012511,-4.41105668,-3.69228186
192.010468,0.007421,0.012451,-4.38607748,-3.70359322
192.988995,0.007375,0.012387,-4.37040534,-3.43844586
193.987562,0.007333,0.012326,-4.3568198,-3.49956147
194.987058,0.007292,0.012263,-4.34927314,-3.48930301
195.988153,0.007249,0.012201,-4.34600263,-3.4601241
197.002242,0.007207,0.012139,-4.34114798,-3.54879459
197.996214,0.007166,0.012078,-4.32919841,-3.29037856
198.998445,0.007127,0.012024,-4.30691047,-3.32431055
