tg,0,2,9,33,other
0.0,1.0,0.0,0.0,0.0,0.0
0.20023181807199808,0.9999999999963262,3.125068601701755e-18,9.249959502208096e-14,5.516076578367544e-20,3.5801635942225728e-12
0.40046363614399616,0.9999999994183912,7.335363072843387e-17,5.587335729051995e-12,1.54642106999536e-18,5.760211465918832e-10
0.6006954542159942,0.9999999979461125,2.1685494601711015e-16,1.3323997248779876e-11,4.671689284845965e-18,2.0405624662291e-09
0.8009272722879923,0.9999999981250254,5.044678493817683e-16,2.2703586056341836e-11,9.762590542767458e-18,1.8522689649853305e-09
1.0011590903599905,0.9999999992528606,1.3223199716309157e-15,1.1410297458200908e-10,3.2449537431983414e-17,6.330338130510725e-10
1.2013909084319885,0.9999999950422623,2.4885284601049123e-15,2.6777036558029405e-10,7.064401166596324e-17,4.689963598939414e-09
1.4016227265039864,0.9999999935553816,4.077596041914244e-15,2.3511630162357084e-10,6.515000005194156e-17,6.209496750685599e-09
1.6018545445759846,0.999999998067671,7.54049155381193e-15,6.991208090440194e-10,2.1906190653359908e-16,1.2332005169772123e-09
1.8020863626479828,0.9999999789847717,1.1887096367112429e-14,1.2975098392347125e-09,5.202647675466118e-16,1.9717706193333964e-08
2.002318180719981,0.9999999876567917,1.7647465497336816e-14,1.1807785717512559e-09,4.0364919633945757e-16,1.1162412845065683e-08
2.2025499987919788,0.9999999958653418,2.787823576984985e-14,2.3780649771324934e-09,1.068448185980206e-15,1.7565651438148467e-09
2.402781816863977,0.9999999763109729,4.0402217195904425e-14,3.6319536483946517e-09,1.8760664372606588e-15,2.0057032861577733e-08
2.603013634935975,0.9999999698219523,5.648693866950457e-14,4.1044207342757e-09,1.8650491495758105e-15,2.6073570648779292e-08
2.803245453007973,0.999999989028635,8.067179815780562e-14,5.584036267442608e-09,3.8962587542874395e-15,5.387245272808543e-09
3.003477271079971,0.9999999703023249,1.1072066976212798e-13,9.295825384539033e-09,7.2446200975479e-15,2.0401733875802e-08
3.2037090891519693,0.9999999331795381,1.4560419749645036e-13,9.358425966750528e-09,5.505796653818752e-15,5.746188631819374e-08
3.4039409072239675,0.9999999842614564,1.9586284303130312e-13,1.2149600303229644e-08,1.1573364010231889e-14,3.588737016676262e-09
3.6041727252959657,0.9999999337357045,2.5654561087512344e-13,1.9238757841673746e-08,2.096888158113848e-14,4.702526093051091e-08
3.8044045433679634,0.999999918152504,3.2579857098730077e-13,1.8976245060462803e-08,1.6644151001717028e-14,6.287090870394378e-08
4.004636361439962,0.9999999615642734,4.1955295783389235e-13,2.3526013689575054e-08,2.927223649482267e-14,1.490926429752513e-08
4.204868179511959,0.9999999358705427,5.314630744591772e-13,3.311067661409133e-08,4.571012616545102e-14,3.101820415612498e-08
4.4050999975839575,0.9999998802310033,6.57649277220895e-13,3.7937576804688515e-08,5.1208268706920585e-14,8.183071139298886e-08
4.605331815655956,0.9999999147577577,8.169150910486406e-13,3.920898001647868e-08,5.841825475641992e-14,4.6032389290556534e-08
4.805563633727954,0.9999999225467288,1.008789279021629e-12,5.638993231373334e-08,1.0501292628686153e-13,2.106222774080321e-08
5.005795451799952,0.9999997751524261,1.2173217195744916e-12,6.389789630736912e-08,1.0899221019346813e-13,1.6094835353444103e-07
5.20602726987195,0.9999998931585052,1.4752037849913508e-12,6.519945858327691e-08,1.2973448965192943e-13,4.164043314244993e-08
5.4062590879439485,0.9999998726607189,1.7817295558475826e-12,8.997601544972713e-08,2.0553822789941586e-13,3.736127998804853e-08
5.606490906015946,0.9999997573078767,2.1133122006010663e-12,9.872016184290118e-08,2.1303885433735243e-13,1.4396963690669074e-07
5.806722724087944,0.9999998079403173,2.510467499526055e-12,1.0536504249231893e-07,2.3869320831712506e-13,8.669189241671477e-08
6.006954542159942,0.9999998495018371,2.977919833988832e-12,1.3039114953958273e-07,3.760855070499437e-13,2.010365904843402e-08
6.20718636023194,0.999999711463155,3.4844061511648184e-12,1.5650968885611467e-07,4.542868088634804e-13,1.3202321726168163e-07
6.407418178303939,0.9999996589468919,4.064817931838488e-12,1.5330960751836174e-07,3.7782205567888013e-13,1.877390572086589e-07
