tg,0,2,9,33,other
0.0,1.0,0.0,0.0,0.0,0.0
0.20023181807199808,0.9999999999963247,3.127111676779976e-19,9.250444867528766e-14,5.560923060301459e-21,3.581656784948424e-12
0.40046363614399616,0.9999999994174406,7.336506789090425e-18,5.587654005477116e-12,2.7037668949820103e-19,5.769722240860124e-10
0.6006954542159942,0.9999999979407177,2.1689155396531234e-17,1.3325453832341067e-11,9.11769586201211e-19,2.0459581642147374e-09
0.8009272722879923,0.9999999981179266,5.04520242041383e-17,2.2709060616751133e-11,1.763864568919237e-18,1.859364743082136e-09
1.0011590903599905,0.9999999992555801,1.3224775696008372e-16,1.1412777963548687e-10,1.3886985323573185e-17,6.302937902115019e-10
1.2013909084319885,0.9999999950560295,2.488898984256792e-16,2.6783457171496785e-10,3.726283188383983e-17,4.6761381649332125e-09
1.4016227265039864,0.9999999935595575,4.0785547290972904e-16,2.35213689139271e-10,1.9927703103046218e-17,6.205231246171051e-09
1.6018545445759846,0.9999999980633661,7.542808893997733e-16,6.993746281376972e-10,1.460695376837099e-16,1.2372600544386645e-09
1.8020863626479828,0.9999999789704579,1.1892375605135047e-15,1.2979986633670226e-09,4.1549483056349275e-16,1.9731542242799593e-08
2.002318180719981,0.9999999876373684,1.765728946455048e-15,1.1814254039023791e-09,2.7622418662819615e-16,1.118120491085297e-08
2.2025499987919788,0.9999999958835841,2.78985757237516e-15,2.379294942054601e-09,8.900706672110779e-16,1.7371176411802148e-09
2.402781816863977,0.999999976313077,4.044093717536951e-15,3.6339219663522684e-09,1.6406363331216536e-15,2.0052995909353664e-08
2.603013634935975,0.9999999697652668,5.655536429915633e-15,4.1070794083013154e-09,1.5798248764091016e-15,2.6127646570542183e-08
2.803245453007973,0.9999999889933981,8.079514783769776e-15,5.5879342604140185e-09,3.557574765770729e-15,5.418655416493737e-09
3.003477271079971,0.999999970390509,1.1093898429080987e-14,9.302011254518159e-09,6.822800838286503e-15,2.0307461209486388e-08
3.2037090891519693,0.9999999332783939,1.459319493610201e-14,9.365918919780325e-09,5.017416418542959e-15,5.7355666158426694e-08
3.4039409072239675,0.9999999842757992,1.9637469869605906e-14,1.2159904690333591e-08,1.1049022507145785e-14,3.5642648154908638e-09
3.6041727252959657,0.9999999336726098,2.5736702388745943e-14,1.9254180751167746e-08,2.0403720673279845e-14,4.707316401410607e-08
3.8044045433679634,0.999999918005498,3.269668551393841e-14,1.8994215260308038e-08,1.5981493770647986e-14,6.300023818787479e-08
4.004636361439962,0.999999961564546,4.213295449387962e-14,2.354943775854032e-08,2.8683870910254685e-14,1.4885945398115879e-08
4.204868179511959,0.9999999359873551,5.341959596182203e-14,3.314286652761427e-08,4.508894060252276e-14,3.0869681729733904e-08
4.4050999975839575,0.9999998802242237,6.615529140526423e-14,3.79771194221717e-08,5.056596030611672e-14,8.179854348992558e-08
4.605331815655956,0.9999999146094724,8.223106398232578e-14,3.925504284194061e-08,5.790271761526176e-14,4.6135347970533856e-08
4.805563633727954,0.999999922621184,1.0166517204627523e-13,5.645267402178591e-08,1.0497091192474174e-13,2.0925938739309155e-08
5.005795451799952,0.999999775388705,1.227748986213811e-13,6.397328100540232e-08,1.0875468394298955e-13,1.6063778555089572e-07
5.20602726987195,0.9999998932370325,1.488724479184827e-13,6.528533471773826e-08,1.3020725557517295e-13,4.147735726026099e-08
5.4062590879439485,0.9999998726105662,1.8006897244519098e-13,9.008904384429453e-08,2.067336785870067e-13,3.73000073271761e-08
5.606490906015946,0.9999997569729218,2.1382136901256201e-13,9.885216040973946e-08,2.1440823067102237e-13,1.4417449462508352e-07
