tg,fidelity,fidelity_qt,detuning,drive_amp
142.0,-4.07980158,-4.15456265,-0.07750196,0.01684564
143.0,-4.04678335,-4.1282781,-0.07826259,0.0167691
144.0,-4.1266732,-4.2136726,-0.07902074,0.01669434
145.0,-4.31516878,-4.39650818,-0.0796891,0.01661394
146.0,-4.54129005,-4.61152998,-0.08031048,0.01653322
147.0,-4.57957796,-4.64177474,-0.08084622,0.01645143
148.0,-4.38925544,-4.45629192,-0.0813998,0.01636813
149.0,-4.34124359,-4.40712613,-0.09203246,0.01612883
150.0,-4.4824601,-4.55654732,-0.09248306,0.01603805
151.0,-4.72875728,-4.79439736,-0.09290126,0.015944
152.0,-4.9369254,-4.98919321,-0.09328667,0.01585009
153.0,-4.75080857,-4.81724865,-0.09365852,0.01575578
154.0,-4.44020887,-4.51685715,-0.09401596,0.01566063
155.0,-4.46992813,-4.54420055,-0.07527148,0.01585081
156.0,-4.53345489,-4.58182137,-0.07582394,0.01577771
157.0,-4.42980302,-4.48891121,-0.07639516,0.01570905
158.0,-4.32861963,-4.40288483,-0.07703145,0.01564256
159.0,-4.32297344,-4.40248244,-0.07767197,0.01557529
160.0,-4.45320218,-4.50990195,-0.03546228,0.01548912
161.0,-4.51385451,-4.58480589,-0.07880101,0.01543782
162.0,-4.60174332,-4.6709304,-0.0442919,0.01507119
163.0,-4.82941322,-4.84288577,-0.04423289,0.01500356
164.0,-4.37230222,-4.42253926,-0.04412284,0.0149369
165.0,-4.11804655,-4.20329519,-0.07183105,0.01517671
166.0,-4.1392932,-4.22325062,-0.07237963,0.01511674
167.0,-4.18928448,-4.27724907,-0.06443345,0.01499397
168.0,-4.37817473,-4.4601287,-0.06497353,0.01494088
169.0,-4.46921264,-4.53963076,-0.0654549,0.01488659
170.0,-4.63969834,-4.69478764,-0.04203135,0.01459182
171.0,-4.738191,-4.73550742,-0.04187554,0.01452926
172.0,-4.39956768,-4.44320124,-0.04176704,0.01447076
173.0,-4.23699363,-4.317056,-0.07606793,0.01469875
174.0,-4.20902233,-4.29432236,-0.0766111,0.01463938
175.0,-4.20101701,-4.28946088,-0.07711263,0.01458
176.0,-4.24686447,-4.33405505,-0.06167765,0.01445689
177.0,-4.51165829,-4.58763496,-0.05449288,0.01430117
178.0,-5.05524662,-5.03653623,-0.04736365,0.01415462
179.0,-4.82429303,-4.81372726,-0.04733135,0.01409958
180.0,-4.32949912,-4.38900653,-0.04724943,0.0140476
181.0,-4.05718019,-4.12605591,-0.0469928,0.01399177
182.0,-4.14259612,-4.23307689,-0.06511929,0.01418534
183.0,-4.30731819,-4.38580889,-0.06558483,0.01413639
184.0,-4.42871367,-4.50736131,-0.05889779,0.01401448
185.0,-4.54142295,-4.59848389,-0.05209434,0.01386585
186.0,-4.63921252,-4.68385397,-0.0520672,0.0138172
187.0,-4.51368872,-4.55211741,-0.04505522,0.01368674
188.0,-4.26852691,-4.32090122,-0.04499163,0.01363655
189.0,-4.08176002,-4.16804017,-0.06876203,0.01386112
190.0,-4.13405614,-4.21993004,-0.06919439,0.01381415
191.0,-4.22291085,-4.30529167,-0.0626214,0.01372772
192.0,-4.41433082,-4.48947091,-0.05619229,0.01360428
193.0,-4.61129586,-4.66434005,-0.05626856,0.01355963
194.0,-4.6225129,-4.65131728,-0.04979123,0.01342088
195.0,-4.38434003,-4.43772684,-0.04975692,0.01337611
196.0,-4.16194853,-4.22572208,-0.0495381,0.01332843
197.0,-4.07094921,-4.15838079,-0.06567421,0.01348288
198.0,-4.1842101,-4.26798108,-0.06605091,0.01344033
199.0,-4.31402619,-4.39035118,-0.06006142,0.01334941
200.0,-4.39312433,-4.46197193,-0.06017003,0.01330778
