tg,drive_amp,detune,f_80_200,f_80_400
20.04086,0.020382,0.010145,-0.29230088,-0.29230276
21.061542,0.018972,0.010127,-0.29748281,-0.2974868
22.045118,0.018391,0.010238,-0.30260534,-0.3026102
23.096864,0.04495,0.018141,-0.39800115,-0.38425016
24.095409,0.044896,0.02054,-0.43935071,-0.42777746
25.086178,0.044988,0.023088,-0.49890155,-0.49242305
26.098106,0.044966,0.024699,-0.57215871,-0.57320055
27.099366,0.044974,0.025848,-0.64797582,-0.66167906
28.083072,0.044797,0.026937,-0.71246057,-0.74159389
29.093358,0.044196,0.02751,-0.76368311,-0.79779063
30.050055,0.042896,0.028728,-0.80313672,-0.82667306
31.092363,0.04181,0.029066,-0.83426333,-0.84702597
32.037041,0.040619,0.029897,-0.85432006,-0.85654204
33.091038,0.03947,0.03033,-0.86877852,-0.86253689
34.083258,0.038499,0.03096,-0.8755475,-0.86487979
35.065595,0.037388,0.031446,-0.87778992,-0.86392604
36.031132,0.036025,0.030871,-0.87887584,-0.86433254
36.929648,0.034935,0.030847,-0.87952603,-0.86683021
38.040493,0.033867,0.030922,-0.88074454,-0.87047384
39.027167,0.032508,0.030337,-0.8834908,-0.87708457
40.028463,0.031573,0.030516,-0.88574369,-0.881126
41.08563,0.030338,0.029939,-0.88883333,-0.88666536
42.019843,0.029298,0.029281,-0.89092,-0.89022917
43.067774,0.028525,0.029387,-0.89291899,-0.89260963
44.027144,0.027548,0.028865,-0.89449123,-0.89463665
45.046907,0.026781,0.028811,-0.89519804,-0.89534523
46.035207,0.025857,0.02809,-0.89517259,-0.89541269
47.036468,0.025132,0.027686,-0.89446667,-0.89472698
48.014316,0.02453,0.027741,-0.89355391,-0.89376508
49.084018,0.023794,0.027558,-0.89147877,-0.89163409
50.068813,0.023237,0.027131,-0.88889845,-0.88891454
50.934509,0.022718,0.026834,-0.88604945,-0.88609143
52.095302,0.037344,0.026121,-0.92531833,-0.90033676
53.081824,0.036353,0.026541,-0.96004327,-0.94006439
54.087263,0.035636,0.026511,-0.9976826,-0.98144662
55.033137,0.034889,0.026668,-1.03111657,-1.01942032
56.085257,0.034177,0.026727,-1.06905157,-1.06147509
57.033335,0.033441,0.026692,-1.10297674,-1.09996213
58.039369,0.032705,0.026604,-1.13971569,-1.14069224
59.078408,0.032004,0.026694,-1.17903683,-1.18285606
60.099753,0.031284,0.026689,-1.21898333,-1.22523293
61.047357,0.030595,0.026495,-1.25676641,-1.26428655
62.044966,0.030106,0.026755,-1.29814113,-1.30574306
63.008615,0.029532,0.026946,-1.33736002,-1.34526553
64.021621,0.028667,0.026551,-1.38262605,-1.39069742
65.04302,0.028058,0.026858,-1.42567682,-1.43333441
66.022109,0.027563,0.026705,-1.47216995,-1.4795966
67.027695,0.026986,0.026572,-1.51944665,-1.52627866
68.030227,0.0264,0.026588,-1.5687425,-1.57495351
69.029107,0.025841,0.026608,-1.61949692,-1.62504167
70.049033,0.025335,0.026644,-1.6732959,-1.67833553
71.044385,0.024842,0.026691,-1.72636028,-1.73156413
72.046846,0.024364,0.026565,-1.78398436,-1.78911421
73.044702,0.023822,0.0265,-1.84367776,-1.84792643
74.046742,0.023287,0.026334,-1.90612361,-1.90945912
75.004434, 0.022872, 0.026373,-1.9696551,-1.9721324
76.054156,0.022434,0.026211,-2.04332154,-2.04604766
77.096412,0.021936,0.026209,-2.12552117,-2.12778756
78.09539,0.021561,0.026137,-2.21084742,-2.21205499
79.090017,0.021146,0.02611,-2.30289575,-2.30417978
80.066409,0.020755,0.026077,-2.39832744,-2.39865863
81.087884,0.020315,0.025914,-2.50524376,-2.50528678
82.096781,0.019967,0.025793,-2.61299905,-2.61259402
83.062961,0.019629,0.02581,-2.7286584,-2.72698963
84.083803,0.019258,0.025771,-2.85015399,-2.84937246
85.030813,0.018978,0.025727,-2.95282466,-2.95284434
86.096915,0.0186,0.025627,-3.04035667,-3.03943115
87.015579,0.018312,0.025554,-3.06097269,-3.06077762
87.909058,0.018062,0.025458,-3.02841678,-3.02899329
88.91043,0.017742,0.025358,-2.94365806,-2.94571645
89.908419,0.01747,0.025175,-2.83499661,-2.83681869
90.939939,0.017242,0.025148,-2.72346433,-2.72474632
91.94988,0.016916,0.025071,-2.62178592,-2.62446866
93.002217,0.016678,0.024952,-2.52842696,-2.5308909
93.902338,0.016426,0.024712,-2.45348928,-2.45488996
94.938499,0.016262,0.024667,-2.37926999,-2.38055357
95.91528,0.016025,0.024463,-2.31700684,-2.31810654
96.931853,0.015798,0.024168,-2.26249022,-2.26352952
97.929516,0.015551,0.023813,-2.21946355,-2.22071334
99.046538,0.015368,0.023491,-2.18749337,-2.1886148
99.910128,0.015221,0.023232,-2.17289233,-2.1737594
100.962476,0.015001,0.022815,-2.16844234,-2.16852977
102.056984,0.014838,0.022471,-2.17819146,-2.17802265
103.081756,0.014647,0.021971,-2.1990943,-2.19832801
104.0629,0.014504,0.021787,-2.23025025,-2.2293419
105.049856,0.014364,0.021594,-2.26943711,-2.26776105
106.066168,0.014248,0.021321,-2.31587636,-2.31376771
107.064199,0.014043,0.021214,-2.37300218,-2.37068684
108.089868,0.01393,0.020902,-2.432391,-2.4299435
109.089025,0.013769,0.020875,-2.50779526,-2.50417224
110.007451,0.013628,0.020692,-2.57615829,-2.57301872
111.025833,0.013512,0.020689,-2.65781001,-2.653999
112.095834,0.013342,0.020549,-2.74956513,-2.7467112
113.076351,0.013228,0.020472,-2.82998202,-2.82612217
114.090124,0.013063,0.020303,-2.92111687,-2.91883407
115.052601,0.012913,0.020109,-2.9983093,-2.99449346
116.082672,0.012811,0.020111,-3.07964836,-3.07722373
117.030491,0.012688,0.019947,-3.13362483,-3.13018928
118.089421,0.012554,0.019843,-3.16937327,-3.16823027
118.95485,0.012453,0.01979,-3.17841385,-3.17778642
119.921644,0.012343,0.019647,-3.16718468,-3.16689215
121.007779,0.012199,0.019545,-3.14189186,-3.14303059
121.918164,0.012092,0.019372,-3.11444516,-3.1152224
122.961579,0.011983,0.019272,-3.08453355,-3.0853668
