,00,02,20,22,50,01,10,08,80,14,41,05,12,82,45,21,28,25,52,91
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.92240093239039e-24,0.9999999995767666,2.692000176624158e-32,1.7594577477523815e-28,2.693013047958513e-18,8.502074226101113e-14,7.41172022624184e-15,3.3122877822817935e-12,2.634879223577556e-14,1.9849920550644053e-14,2.0722780491033213e-15,4.073844223458754e-10,1.239544322415783e-11,3.843833491194494e-16,2.962459085035339e-17,5.02285049091578e-20,2.9546131453806668e-21,2.3445663503172677e-19,2.766934029329846e-18,1.8131579024631003e-20
2,1.457127903784657e-22,0.9999999981472065,4.301290307938283e-31,3.698685946478314e-27,1.1613357942233364e-17,3.957128357824924e-13,3.465899661693476e-14,1.3356940323614119e-11,1.019943804844852e-13,7.616975244317501e-14,7.750748214576759e-15,1.7854110010904514e-09,5.3408367539760825e-11,8.288336447443934e-16,6.093321322184618e-17,2.1873590050698864e-19,6.98569867180131e-21,6.830251189365306e-19,7.775964897543294e-18,3.9756957287557523e-20
3,1.9620255161193498e-22,0.9999999972660946,9.927192749627915e-30,4.047785399636925e-27,2.0179992775090906e-17,1.2054083679868215e-13,7.181870087666206e-15,3.712877343369692e-11,3.3923720420619254e-13,2.616082114111566e-13,2.8966650670464816e-14,2.6024332015834233e-09,9.3581090315742e-11,5.223141115233363e-15,3.839763234862602e-16,3.432787566646192e-19,4.3580959184215597e-20,3.866916957509733e-18,4.521048002219043e-17,2.5034830442599485e-19
4,3.5464920745379207e-20,0.9999999581172043,1.0001540970868003e-27,1.485978797799225e-24,2.788628970442348e-16,5.883620900780796e-12,4.892255762408984e-13,3.7649778216263675e-10,3.001836104987454e-12,2.2541357597436843e-12,2.3164970321584104e-13,4.020805368343414e-08,1.2863695165975428e-09,1.248842964489194e-14,8.581883964932038e-16,5.0601638338813995e-18,1.2206785329575625e-19,1.67649875607769e-17,1.8091118835366065e-16,6.145822510336931e-19
5,6.352072410374968e-19,0.9999998563752833,6.676071376321862e-27,2.348077998010249e-23,9.047528499330786e-16,2.6748075373338426e-11,2.290732771850113e-12,9.740654304262719e-10,6.805943252282778e-12,4.969105114911598e-12,4.701392708826215e-13,1.38448613774619e-07,4.1607438205475165e-09,7.922660513223254e-15,6.041671559192565e-16,1.701334190129642e-17,7.025781276022807e-20,1.4685404021822732e-17,1.4132994739044852e-16,3.78360105172476e-19
6,1.5217849995118103e-18,0.9999998054667629,7.922619196833257e-27,5.2227354941473223e-23,1.1835483829458432e-15,4.175075700583558e-11,3.6166859132336164e-12,1.085740084863187e-09,6.828603915147014e-12,4.870076336087831e-12,4.2911060945690767e-13,1.8795789334237196e-07,5.432104455115152e-09,2.8981646059509096e-15,2.422308181705059e-16,2.2762815770351745e-17,1.8592852871849915e-20,5.0296768844869204e-18,4.054781417951851e-17,1.320656705103682e-19
7,1.8579787112636324e-18,0.9999997705287026,4.974294766695944e-26,3.5380744074428494e-23,1.5259580997965922e-15,2.7816280187584722e-11,2.2481267543022243e-12,1.8323320977447172e-09,1.2778932019118423e-11,9.28018625405986e-12,8.568509122511337e-13,2.20550140110505e-07,7.0358191827756855e-09,2.226094246367492e-14,1.6950638219606464e-15,2.777182870009999e-17,1.642322129464061e-19,1.6738067630046054e-17,1.6698575290543004e-16,1.0484828041850733e-18
8,1.2947186894376813e-17,0.9999993833401097,7.864189157072909e-25,2.508737017737754e-22,4.2061671880001106e-15,3.2649494922422024e-11,1.928797545005574e-12,4.791107617400128e-09,3.0447950597676665e-11,2.1606680888535642e-11,1.855970012119797e-12,5.92372504322993e-07,1.9407730778795567e-08,5.043279338210095e-14,3.4788780620923658e-15,7.558756670966149e-17,4.666649173596517e-19,3.9687457443480544e-17,4.680652602825776e-16,2.4718813564665604e-18
