# first column: gate time tg (ns)
# other columns: Real truncation
# tg(ns), 200, 400, 600, 800, 1000, 2000, 3000,
30.00000000,-0.32676793,-0.38538270,-0.31032859,-0.31447342,-0.32093212,-0.32840926,-0.32833681
40.00000000,-0.41091466,-0.51661022,-0.40470337,-0.41059872,-0.40827226,-0.41731493,-0.41740435
50.00000000,-0.53141757,-0.64683841,-0.51801386,-0.52251403,-0.51470893,-0.51284870,-0.51249820
60.00000000,-0.65655390,-0.75810980,-0.64201901,-0.64296543,-0.62789951,-0.61185876,-0.61008111
70.00000000,-0.78697257,-0.82814753,-0.76274204,-0.76041037,-0.74043994,-0.72186730,-0.71840679
80.00000000,-0.87256388,-0.85944038,-0.85732548,-0.85594560,-0.83568973,-0.81446997,-0.81112185
90.00000000,-0.96436689,-0.92034156,-0.91232236,-0.91251117,-0.90790623,-0.89741560,-0.89528593
100.00000000,-1.04300931,-1.02807372,-0.99616348,-0.99685281,-1.00014456,-0.99703338,-0.99478335
110.00000000,-1.18270368,-1.20646765,-1.13884210,-1.13971908,-1.14607402,-1.14637417,-1.14433690
120.00000000,-1.31861280,-1.35767853,-1.32084463,-1.32592969,-1.33407038,-1.33383003,-1.33161590
130.00000000,-1.47764684,-1.51727536,-1.51778433,-1.52983686,-1.54179075,-1.54034125,-1.53783981
140.00000000,-1.53874237,-1.56021546,-1.68702076,-1.71471612,-1.72898133,-1.72409303,-1.72152977
150.00000000,-1.60672959,-1.61960774,-1.80198516,-1.83999111,-1.85331662,-1.84777925,-1.84669134
160.00000000,-1.67891470,-1.70297124,-1.93304490,-1.97275910,-1.98305250,-1.97988937,-1.98018016
170.00000000,-1.78100270,-1.81989532,-2.11386322,-2.15002419,-2.15717357,-2.15680600,-2.15821035
180.00000000,-1.84293193,-1.88680660,-2.29455935,-2.31850585,-2.31949308,-2.32160802,-2.32411072
190.00000000,-1.86235893,-1.91151064,-2.45032168,-2.46905800,-2.46469502,-2.46753133,-2.46897464
200.00000000,-1.92388720,-1.97948048,-2.62234852,-2.62337743,-2.61851995,-2.62160681,-2.62138232
210.00000000,-1.96479940,-2.02582368,-2.77205013,-2.76631548,-2.76237830,-2.76515459,-2.76466267
220.00000000,-1.96596795,-2.02822025,-2.85808752,-2.86823853,-2.86438235,-2.86743430,-2.86716674
230.00000000,-2.00801883,-2.07072485,-2.93930326,-2.95550988,-2.95563608,-2.95691833,-2.95596933
240.00000000,-2.06707614,-2.12737124,-3.03867744,-3.04804490,-3.05006817,-3.04889541,-3.04714782
250.00000000,-2.11589877,-2.17998725,-3.11495811,-3.12143766,-3.12449125,-3.12188846,-3.12024819
260.00000000,-2.15546632,-2.22465236,-3.17013266,-3.17571739,-3.17930082,-3.17634488,-3.17525242
270.00000000,-2.17997937,-2.24651551,-3.22249469,-3.23867199,-3.24213987,-3.24007406,-3.23934240
280.00000000,-2.21546124,-2.28410412,-3.28587617,-3.30173739,-3.30471799,-3.30239327,-3.30177149
290.00000000,-2.25953572,-2.32829321,-3.33887485,-3.34769292,-3.35090691,-3.34767893,-3.34705194
300.00000000,-2.26380000,-2.33218708,-3.36022776,-3.39255467,-3.39457425,-3.39376612,-3.39340243
310.00000000,-2.31518611,-2.38578282,-3.42793237,-3.44526882,-3.44821559,-3.44575617,-3.44540104
320.00000000,-2.34760605,-2.42191970,-3.47259169,-3.48724562,-3.48937179,-3.48651737,-3.48632581
330.00000000,-2.35434587,-2.42639686,-3.49045633,-3.52569739,-3.52767203,-3.52710976,-3.52628415
340.00000000,-2.40174246,-2.47744138,-3.54650767,-3.56319150,-3.56556936,-3.56339561,-3.56323470
350.00000000,-2.42300971,-2.49695667,-3.58286213,-3.60782791,-3.60975440,-3.60814323,-3.60754821
