0,1,2,3,4,5,6,7,8,9
"(7, 1)","(11, 0)","(11, 4)","(17, 0)","(17, 4)","(6, 4)","(10, 1)","(16, 1)","(21, 0)","(6, 0)"
"(2, 5)","(5, 2)","(5, 9)","(5, 4)","(5, 12)","(9, 5)","(5, 13)","(8, 2)","(12, 5)","(2, 8)"
"(3, 5)","(6, 2)","(6, 9)","(6, 4)","(6, 12)","(10, 5)","(6, 13)","(3, 8)","(17, 2)","(6, 24)"
"(2, 6)","(5, 3)","(5, 10)","(9, 6)","(5, 14)","(8, 3)","(12, 6)","(4, 6)","(5, 23)","(5, 7)"
"(3, 6)","(6, 3)","(6, 10)","(10, 6)","(6, 14)","(6, 23)","(6, 7)","(17, 3)","(14, 6)","(3, 17)"
"(1, 8)","(12, 0)","(4, 4)","(8, 1)","(0, 12)","(0, 13)","(0, 9)","(4, 12)","(4, 9)","(0, 4)"
"(12, 0)","(1, 8)","(8, 1)","(4, 4)","(0, 12)","(0, 13)","(15, 1)","(5, 1)","(0, 9)","(4, 12)"
"(5, 2)","(2, 5)","(9, 5)","(2, 8)","(4, 5)","(5, 9)","(12, 5)","(5, 4)","(5, 12)","(13, 5)"
"(5, 3)","(2, 6)","(9, 6)","(5, 10)","(4, 6)","(12, 6)","(13, 6)","(2, 17)","(5, 14)","(8, 3)"
"(6, 2)","(3, 5)","(10, 5)","(3, 8)","(6, 9)","(6, 4)","(14, 5)","(6, 12)","(10, 8)","(16, 5)"
"(6, 3)","(3, 6)","(10, 6)","(6, 10)","(14, 6)","(16, 6)","(3, 17)","(6, 14)","(23, 6)","(3, 11)"
"(0, 13)","(1, 8)","(4, 4)","(12, 0)","(8, 1)","(1, 18)","(1, 5)","(0, 12)","(1, 16)","(1, 21)"
"(0, 14)","(1, 11)","(0, 15)","(1, 6)","(1, 17)","(1, 19)","(1, 22)","(1, 37)","(4, 3)","(4, 7)"
"(0, 15)","(1, 11)","(1, 17)","(0, 14)","(1, 19)","(1, 37)","(1, 32)","(1, 22)","(4, 7)","(1, 6)"
"(0, 16)","(1, 12)","(1, 9)","(1, 25)","(1, 13)","(4, 5)","(1, 4)","(1, 20)","(1, 35)","(4, 16)"
"(8, 1)","(4, 4)","(1, 8)","(12, 0)","(13, 0)","(0, 12)","(0, 13)","(8, 8)","(12, 4)","(9, 0)"
"(0, 17)","(1, 10)","(1, 15)","(1, 14)","(1, 7)","(4, 6)","(1, 27)","(1, 23)","(1, 31)","(4, 17)"
"(2, 7)","(5, 11)","(5, 17)","(5, 6)","(8, 11)","(1, 11)","(5, 22)","(15, 11)","(5, 48)","(5, 37)"
"(3, 7)","(6, 11)","(6, 17)","(6, 6)","(6, 22)","(17, 11)","(6, 48)","(6, 37)","(6, 51)","(19, 11)"
"(4, 4)","(8, 1)","(13, 0)","(1, 8)","(12, 0)","(8, 8)","(12, 4)","(1, 1)","(0, 12)","(9, 0)"
"(13, 0)","(8, 1)","(4, 4)","(1, 8)","(12, 0)","(18, 1)","(15, 1)","(5, 1)","(20, 1)","(12, 4)"
"(14, 0)","(19, 1)","(6, 1)","(11, 1)","(21, 1)","(17, 1)","(16, 0)","(36, 1)","(43, 1)","(7, 4)"
"(7, 2)","(11, 5)","(17, 5)","(6, 5)","(11, 8)","(11, 1)","(11, 16)","(21, 5)","(53, 5)","(11, 21)"
"(7, 3)","(11, 6)","(17, 6)","(6, 6)","(11, 17)","(21, 6)","(53, 6)","(11, 19)","(11, 11)","(16, 3)"
"(15, 0)","(9, 1)","(12, 1)","(5, 4)","(2, 8)","(25, 1)","(13, 1)","(22, 1)","(4, 1)","(15, 4)"
"(16, 0)","(11, 1)","(17, 1)","(21, 1)","(19, 1)","(7, 4)","(6, 1)","(32, 1)","(14, 0)","(36, 1)"
"(17, 0)","(10, 1)","(3, 8)","(6, 4)","(16, 1)","(23, 1)","(27, 1)","(7, 1)","(17, 4)","(31, 1)"
"(2, 8)","(5, 4)","(9, 1)","(15, 0)","(5, 12)","(5, 9)","(5, 2)","(9, 8)","(8, 4)","(2, 1)"
"(3, 8)","(6, 4)","(17, 0)","(10, 1)","(6, 12)","(6, 9)","(6, 2)","(10, 8)","(3, 1)","(6, 20)"
"(1, 9)","(4, 5)","(0, 18)","(8, 2)","(0, 16)","(4, 8)","(4, 18)","(0, 8)","(0, 5)","(4, 16)"
"(1, 10)","(4, 6)","(8, 3)","(0, 17)","(0, 19)","(4, 17)","(0, 6)","(0, 22)","(4, 11)","(0, 11)"
"(1, 11)","(4, 7)","(0, 15)","(0, 14)","(0, 23)","(4, 10)","(4, 15)","(0, 7)","(4, 14)","(0, 10)"
