source_index,tg,drive_amp_1,drive_amp_2,detune_1,detune_2
0,19.991738,0.265505,0.173725,0.409908,0.46094
4,59.994352,0.21342,0.142938,0.359182,0.378016
9,110.011473,0.211458,0.107187,0.3418,0.362944
14,159.99718,0.209025,0.091503,0.337985,0.359217
18,200.012403,0.201634,0.082082,0.339457,0.352188
