source_index,tg,drive_amp_1,drive_amp_2,detune_1,detune_2
0,10.112276,0.417301,0.074364,-0.088062,-0.047291
4,30.008808,0.14528,0.038018,0.000574,0.004073
8,50.27328,0.081876,0.022072,0.001951,0.003063
13,79.950593,0.050314,0.013698,0.001007,0.001429
17,119.917477,0.033251,0.00908,0.000489,0.000672
