tg,drive_amp_1,drive_amp_2,detune_1,detune_2
30.001697955384586,0.0950305175396984,0.0559645068618822,-0.0229431699271981,-0.0204057266750115
40.00555329107142,0.0997266569033966,0.0468645259519197,-0.0241556443510234,-0.0238998859507338
50.00717830931639,0.0944291005813748,0.0423270716117916,-0.0244726373940417,-0.0245784916790838
60.00042024820094,0.0860268178307405,0.039565720524842,-0.023818662476748,-0.0235933736698757
70.00632025943978,0.0754983495803452,0.0375545096093446,-0.0220722397477199,-0.0217559292735076
80.00717061124169,0.0684685566636874,0.0360858748811351,-0.0216656222370143,-0.0213664922732133
90.0046789076465,0.0612690428023734,0.0328298867119061,-0.0175105475717894,-0.017426353484737
99.98779143683356,0.0552476173731895,0.0303321720259133,-0.0136420988276629,-0.0133841863421664
110.0055159768988,0.0508369118785249,0.0291812451875436,-0.0124040603840376,-0.0122055378773382
120.00119888114236,0.0481978180227306,0.0284814967017705,-0.0120002915682024,-0.011662860296695
130.008905,0.044967,0.0277549999999999,-0.0118439999999999,-0.011358
140.00288939744678,0.0431467453879589,0.0270545541050772,-0.011586233235172,-0.0111996315667356
150.00846555731022,0.0404390857423315,0.0256917484107477,-0.0105627393381496,-0.0101376638536502
160.00104629807225,0.0373113805354099,0.0236015795141312,-0.0088118941912863,-0.0084700978037851
169.98845121779,0.0350587475358479,0.0227281052475843,-0.008171614597858,-0.0078203204674472
179.99589761254077,0.0328832541895286,0.0212971308778636,-0.007185671798851,-0.0068659107005359
190.0061815101689,0.0310264616235954,0.020337860285735,-0.0065059880339002,-0.0062025883216323
199.99401453701256,0.0293043143621989,0.0192834954612087,-0.0059127085392316,-0.0056141037736211
209.99618971527585,0.0278368128559825,0.0183291404274668,-0.005360856933769,-0.0051053320872265
219.99909373261687,0.0264876862289486,0.017445615653641,-0.0048355303614979,-0.0045954656713055
229.99109523994065,0.0251716061541493,0.0166352003263415,-0.0043900766543292,-0.004180995743599
240.0108912048089,0.0239631904383156,0.0158040359844451,-0.0039371847639625,-0.003761548654049
250.00848283961477,0.0229366099316889,0.0150824158956933,-0.0035847106941062,-0.0034197203110569
259.9984501511477,0.0219985886800413,0.0144568110549262,-0.0032781584268901,-0.0031272287510812
269.9940653315073,0.0211279347557808,0.0139011410562856,-0.0030574791040716,-0.002902125861154
279.99841150217577,0.020309178872375,0.0133432771175907,-0.0027877307758915,-0.0026596173599784
290.0035981400201,0.0195599775290957,0.0128682660791551,-0.0026045305304568,-0.0024841847344847
300.0110348212024,0.0188763995888753,0.0124091020897173,-0.002412100507919,-0.0022885446239235
309.989449795802,0.0182455495039099,0.0119940714275886,-0.002242515257895,-0.0021314383025917
320.00657206577466,0.0176642580436892,0.0115755387267288,-0.0021001959809119,-0.0020010370806541
330.0143980398103,0.01710065741534,0.0112269352069246,-0.0019697962914872,-0.0018772109373731
340.0013612459632,0.0165772343723305,0.0108798423637181,-0.0018469714176028,-0.0017652309887829
350.0137972209747,0.0161027467281986,0.0105455665334509,-0.0017426803951124,-0.0016596448382442
