tg,0-0,2-0,8-0,other
0.0,1.0,0.0,0.0,0.0
1.008035758064516,0.9999999811759674,1.5206026160125018e-18,9.910968079590748e-10,1.783293824091056e-08
2.016071516129032,0.9999993749120198,5.546833156130676e-16,1.692637751606093e-08,6.081616036578466e-07
3.024107274193548,0.9999995321933085,1.0436085168172692e-14,8.447261125891426e-08,3.833340722471225e-07
4.032143032258064,0.9999953049072974,1.0836724246107766e-13,2.6667703538610143e-07,4.428415561649705e-06
5.04017879032258,0.9999977555423958,5.593610283277634e-13,6.558847537446323e-07,1.5885722937471876e-06
6.048214548387096,0.9999896088277731,2.1750682861567392e-12,1.3316844142243643e-06,9.059485639461117e-06
7.056250306451613,0.999993268202648,7.144242096450415e-12,2.536103880843578e-06,4.19568632831438e-06
8.064286064516129,0.9999848584467566,1.8279693136442134e-11,4.21591806563327e-06,1.092561690173473e-05
9.072321822580644,0.9999847655189605,4.4083410741882066e-11,6.926026625763679e-06,8.308410333861269e-06
10.08035758064516,0.9999699140969931,9.180801646021828e-11,1.0332073188881437e-05,1.9753738010865838e-05
11.088393338709677,0.999972049080493,1.7336769503743733e-10,1.5243979473303984e-05,1.2706766669452566e-05
12.096429096774193,0.9999317696192471,3.082433300019557e-10,2.1226865808143357e-05,4.700320670214246e-05
13.104464854838708,0.9999518148531066,5.018752078774563e-10,2.9158038425858752e-05,1.90266065947656e-05
14.112500612903226,0.9998892284463348,7.8244324318659e-10,3.830379865523879e-05,7.246697256819897e-05
15.120536370967741,0.9999234586677332,1.1811451274596314e-09,5.040216600902982e-05,2.613798511575834e-05
16.128572129032257,0.9998740513184017,1.701452355361945e-09,6.304759766551033e-05,6.289938248593596e-05
17.136607887096773,0.999889858152968,2.4791429394822466e-09,8.060309735995425e-05,2.9536270531981277e-05
18.14464364516129,0.9998494144709927,3.51248394659528e-09,9.742249826636408e-05,5.315951825769152e-05
19.152679403225804,0.9998471802786079,4.965489946870541e-09,0.00012092743479693158,3.1887321107324603e-05
20.16071516129032,0.9997475660165523,7.09605345321509e-09,0.00014300092404087724,0.0001094259633593142
21.16875091935484,0.999785012952683,9.746332236446953e-09,0.0001718757410873417,4.310155990006977e-05
22.176786677419354,0.999605811870486,1.3559427931013651e-08,0.00019945448675440884,0.0001947200833327867
23.18482243548387,0.9996973979685936,1.8489531505468967e-08,0.00023357486236449585,6.900867951117457e-05
24.192858193548386,0.999531603322657,2.4484714158171917e-08,0.0002652490425935516,0.00020312315003883903
25.2008939516129,0.9996021970642957,3.3249105643194454e-08,0.0003060233018777235,9.174638472576874e-05
26.208929709677417,0.9995108887496659,4.288485935309007e-08,0.00034008373178494794,0.00014898463369407742
27.216965467741932,0.9995144911225894,5.641074543209331e-08,0.0003883555473408514,9.709691932814923e-05
28.22500122580645,0.9993746500690035,7.189226545281125e-08,0.0004248303141057557,0.00020044772462903324
29.233036983870967,0.9994066200387962,9.039001458046775e-08,0.00047796916723967737,0.00011532040395378863
30.241072741935483,0.9990931112254342,1.1227540665426344e-07,0.000517884542411196,0.00038889195675499623
31.2491085,0.999259429925785,1.3769808055404472e-07,0.0005714093457191011,0.00016902303041453834
32.257144258064514,0.9989096181154156,1.6505615819996114e-07,0.0006136600302795728,0.0004765567981508
33.26518001612903,0.9991161442763431,2.0211415020876855e-07,0.0006666354884401962,0.00021701812106708556
34.273215774193545,0.9989399700943458,2.3790223219807323e-07,0.0007071358009264161,0.0003526562024964656
35.28125153225806,0.9990281667155414,2.901551412088981e-07,0.0007630650226937977,0.00020847810662774253
36.28928729032258,0.9989114093567868,3.433041030726063e-07,0.0007984616680149249,0.0002897856710989868
37.29732304838709,0.9989476942908608,4.1138432587854277e-07,0.0008583771049337295,0.000193517219881813
38.30535880645161,0.9985770263291096,4.862120621693251e-07,0.000889977515184448,0.0005325099436477716
39.31339456451612,0.998768255797519,5.747513670878055e-07,0.0009475344378065168,0.0002836350133108865
40.32143032258064,0.9981966119906911,6.636734739762328e-07,0.0009791927537863227,0.0008235315820555749
41.32946608064516,0.9985384080654233,7.836940821907559e-07,0.0010276784158413709,0.00043312982465528425
42.33750183870968,0.9981885230081432,8.844419301962316e-07,0.0010594425597726987,0.0007511499901551699
43.34553759677419,0.998428897389945,1.0377750605748395e-06,0.001102389279717488,0.00046767555527799115
44.35357335483871,0.9983544759854291,1.1654209727829396e-06,0.001128986215506879,0.000515372378091639
45.361609112903224,0.998420594833789,1.3397735773068924e-06,0.0011769315822493472,0.00040113381038248743
46.36964487096774,0.9981208581708724,1.5022301307057337e-06,0.0011958489788500579,0.0006817906201490905
47.377680629032255,0.998276000350824,1.6981269602431271e-06,0.0012505862126718822,0.00047171530954480184
48.38571638709677,0.9975545867364363,1.8795919382226557e-06,0.0012690142769053994,0.0011745193947208634
49.39375214516129,0.9979306412681981,2.1245537317396083e-06,0.0013201732474753688,0.0007470609305974272
50.4017879032258,0.9973462661487085,2.3167343601689144e-06,0.0013481111800286466,0.001303305936902577
51.40982366129032,0.997704857486494,2.6333638538194943e-06,0.0013916510158204188,0.0009008581338347341
52.41785941935483,0.9976559024465913,2.87073932116915e-06,0.0014289513467991518,0.0009122754672895036
53.42589517741935,0.997780861652319,3.2481389658351263e-06,0.0014798799411960958,0.00073601026752273
54.433930935483865,0.9977001837191346,3.5730275970732713e-06,0.0015179942637325878,0.0007782489895357516
55.44196669354838,0.9977440062990507,4.009668300045413e-06,0.0015927160634688184,0.0006592679691825406
56.4500024516129,0.9970125567509672,4.401607692956974e-06,0.0016322650452882765,0.001350776596052109
57.45803820967742,0.9972118722160153,4.9500873176399655e-06,0.001724131735782166,0.0010590459608866927
58.466073967741934,0.9963532054520869,5.367202424792262e-06,0.0017809551128107086,0.001860472232678651
59.47410972580645,0.9965816560564986,6.0748960431514726e-06,0.0018716006597391368,0.0015406683877202394
60.482145483870966,0.9964645502028567,6.5629959645109335e-06,0.0019570082244006986,0.0015718785767775067
61.49018124193548,0.9964853738865758,7.402958129442236e-06,0.002050358929810187,0.0014568642254848547
62.498217,0.9967381532912241,8.06097049620877e-06,0.0021527000825145603,0.0011010856557641733
63.50625275806451,0.9966309471699036,9.00937331041306e-06,0.002275172803731597,0.0010848706530534762
64.51428851612903,0.996165727633063,9.845333237769249e-06,0.00237642217726754,0.0014480048564345072
65.52232427419355,0.9960817173830935,1.1008268630511638e-05,0.002534354006613754,0.0013729203416635554
66.53036003225806,0.9950878700223247,1.1945246247739163e-05,0.0026420540607939966,0.002258130670638131
67.53839579032258,0.9949351925365131,1.3486201359872899e-05,0.0028035975379708577,0.0022477237241559363
68.54643154838709,0.9947475229333389,1.4565305359565193e-05,0.002944418566807961,0.002293493194492926
69.55446730645161,0.9944090277937955,1.6504114460722747e-05,0.003085078164269154,0.002489389927475686
70.56250306451612,0.9951474038851069,1.7953005844496435e-05,0.0032580678556206975,0.0015765752534257253
71.57053882258064,0.9947684899128517,2.020546054001538e-05,0.003400853682323646,0.001810450944288514
72.57857458064515,0.9949501259592523,2.2153492129893372e-05,0.003566235357953101,0.001461485190663573
73.58661033870968,0.9946175912105559,2.4813634830744245e-05,0.003740913094387736,0.0016166820602242407
74.59464609677418,0.9937713447049265,2.7059083057740755e-05,0.0038780609108897825,0.0023235353011265645
75.6026818548387,0.9931402619562743,3.0392753004645013e-05,0.004057843769439264,0.0027715015212802217
76.61071761290322,0.9928871927116725,3.276413864291876e-05,0.004202099248338495,0.0028779439013462116
77.61875337096774,0.9918098374754494,3.6778176131768105e-05,0.004331628156857215,0.003821756191560786
78.62678912903225,0.993126970313066,3.9548043235123125e-05,0.004514765480129104,0.0023187161635726343
79.63482488709677,0.9921452308202832,4.393098920929894e-05,0.004592655034025764,0.003218183156486636
80.64286064516128,0.9934483589210159,4.742759186302281e-05,0.004774619933996089,0.0017295935531254122
81.6508964032258,0.9928824324563851,5.212993579340695e-05,0.0048538827588217376,0.0022115548490003294
82.65893216129032,0.9926995448535503,5.6138509330243756e-05,0.004977763190875442,0.0022665534462458278
83.66696791935483,0.9918490005712466,6.160281554735319e-05,0.005068901261570096,0.003020495351637019
84.67500367741935,0.9916565282523911,6.567501876059725e-05,0.005157563390588862,0.003120233338259978
85.68303943548386,0.9898199614051794,7.213012759894652e-05,0.0051996942371936375,0.004908214230028832
86.69107519354839,0.9916758477934089,7.645326699854934e-05,0.005323863836827817,0.002923835102768123
87.6991109516129,0.9895858525869048,8.34327424420107e-05,0.005285629441090433,0.005045085229565195
88.70714670967742,0.9923747998477355,8.867683993066903e-05,0.005441195280230821,0.002095328032102177
89.71518246774193,0.9912005223587879,9.583130591272657e-05,0.005376805488871384,0.0033268408464290277
90.72321822580645,0.9923017117545174,0.00010194844908695323,0.005489065651794864,0.002107274144600599
91.73125398387096,0.9913886676439296,0.00010971209823630643,0.005451711580302554,0.0030499086775333827
92.73928974193548,0.9913783019754004,0.00011583894213663365,0.005507219483477197,0.0029986395989864793
93.74732549999999,0.9890249763585238,0.0001245328812906092,0.005462934046445776,0.005387556713738581
94.75536125806451,0.991006134893564,0.00013049610681507617,0.005544498902555823,0.0033188700970651947
95.76339701612902,0.9874574827085361,0.0001394883523297117,0.0054405755899659125,0.00696245334916745
96.77143277419354,0.9916155710416444,0.00014617148167534453,0.005594777949573204,0.0026434795271059507
97.77946853225806,0.9890099750100108,0.0001548918757204848,0.005461891373765141,0.0053732417405040695
98.78750429032257,0.9919773809170624,0.0001626367797500418,0.005628284874049684,0.0022316974291381906
99.7955400483871,0.9907571707185705,0.0001717374759611866,0.005538228867074202,0.0035328629383954827
100.8035758064516,0.9913803837840885,0.00017974255345585595,0.005661595776666449,0.0027782778857900407
101.81161156451613,0.9890831989491997,0.0001900636651269911,0.005612434565521929,0.005114302820151989
102.81964732258064,0.9907390660310139,0.00019801334784246612,0.005746722089090834,0.0033161985320538873
103.82768308064516,0.9860524538450752,0.0002091535189195973,0.0056718345563539895,0.008066558079650978
104.83571883870967,0.9909334052807328,0.00021820891460328304,0.005899793498269,0.0029485923063966107
105.84375459677419,0.9862957684254834,0.0002294062317851259,0.005791892186372314,0.007682933156360273
106.8517903548387,0.9913335730899806,0.00024052579904327068,0.006083679481186041,0.0023422216297883883
107.85982611290322,0.9890123333166716,0.00025247900821228844,0.006009688070305658,0.004725499604811782
108.86786187096773,0.9909574018807971,0.0002647039098643252,0.006272572305402404,0.0025053219039357813
