idx,f_trunc,f_large,p0,p1,p2,p3,p4
0,-2.174948246360451,-1.5889760280724203,200.0055435068443,0.06958114621332419,0.022476926197674052,-0.011883571124451276,-0.018002555177767856
1,-2.4709259966524955,-1.6126951275758457,209.9982146943247,0.07074208276020712,0.021846726347215135,-0.012150848416597637,-0.018423862863322583
2,-2.738333719446199,-1.6437061706611573,219.99100967893156,0.07161306086130273,0.021067819693111528,-0.012269437062080047,-0.018645915450791053
3,-2.7996172778369544,-1.6805426945792015,230.0028583620482,0.0726904572876411,0.020181126555848826,-0.012002582528257822,-0.018716522838743754
4,-2.8356384947891993,-1.6708734740462696,240.00036614346544,0.0752116817942965,0.019216858209145336,-0.011685174099048035,-0.01906966261515355
5,-3.0426220009495974,-1.5681481935917578,250.00340838599786,0.0792325651827533,0.018483932962715444,-0.01170862755893084,-0.020011672790905013
6,-3.263645547179245,-1.5318879225539133,259.9946100554528,0.08103558772638388,0.018008120862531826,-0.01191658737351491,-0.020570648576653416
7,-3.0563623641439195,-1.5233469803098905,270.0052855663608,0.08215785415155606,0.017523370338009672,-0.012307706037182332,-0.021014364719610792
8,-2.9254015324580824,-1.480031674583292,280.00805230342115,0.0826710800399594,0.017352405220266945,-0.013090776036593,-0.021553391766861187
9,-3.2645563569423124,-1.427164492003562,290.0038370492471,0.08793068338724709,0.01637943183672634,-0.01125513898005074,-0.022058189771033267
10,-3.4197802810762723,-1.4312976215916047,299.99304756326507,0.08874836157967961,0.01604478383993803,-0.011557220690655312,-0.02242591941004285
11,-3.2006600155491434,-1.4319352054993153,309.99363879392496,0.08932363355470087,0.015795121314951796,-0.011967418544256793,-0.02279285092929182
12,-3.386683184021592,-2.066030035467457,319.9987130662217,0.0656149838724661,0.015495257780837754,-0.010605722822195063,-0.016130598079067273
13,-3.1819927322419845,-2.118557135700616,330.0021151413814,0.06319882566697094,0.01489083680787509,-0.009757712213677206,-0.015112622043364866
14,-3.2819318930442978,-2.0911558311492273,340.00404095934385,0.06690558922485812,0.015492050109613839,-0.012323058175073965,-0.017480331132897976
15,-3.4983076259401176,-2.1147768278722254,350.0007393113124,0.06604999287425067,0.015519642808322603,-0.012865821795765453,-0.017674774216678447
