0,1,2
"(17, 1)","(10, 4)","(6, 8)"
"(7, 7)","(11, 11)","(11, 6)"
"(5, 8)","(9, 4)","(4, 9)"
"(4, 9)","(12, 2)","(8, 5)"
"(6, 8)","(10, 4)","(17, 1)"
"(12, 3)","(8, 6)","(4, 10)"
"(12, 2)","(4, 9)","(1, 18)"
"(4, 10)","(12, 3)","(8, 6)"
"(2, 13)","(9, 4)","(5, 8)"
"(3, 13)","(10, 4)","(6, 8)"
"(2, 14)","(5, 11)","(2, 15)"
"(3, 14)","(6, 11)","(3, 15)"
"(0, 27)","(1, 19)","(1, 17)"
"(4, 11)","(8, 7)","(1, 15)"
"(9, 4)","(5, 8)","(15, 1)"
"(2, 15)","(5, 11)","(5, 17)"
"(3, 15)","(6, 11)","(6, 17)"
"(2, 16)","(5, 12)","(5, 9)"
"(3, 16)","(6, 12)","(6, 9)"
"(10, 4)","(6, 8)","(17, 1)"
"(2, 17)","(5, 10)","(5, 15)"
"(3, 17)","(6, 10)","(6, 15)"
"(8, 5)","(4, 9)","(12, 2)"
"(8, 6)","(4, 10)","(12, 3)"
"(11, 4)","(7, 8)","(16, 1)"
"(25, 0)","(15, 1)","(20, 1)"
"(13, 2)","(8, 5)","(18, 5)"
"(13, 3)","(8, 6)","(4, 10)"
"(14, 2)","(19, 5)","(11, 5)"
"(14, 3)","(19, 6)","(11, 6)"
"(7, 8)","(11, 4)","(16, 1)"
"(26, 0)","(24, 1)","(25, 1)"
"(8, 7)","(4, 11)","(12, 11)"
"(1, 18)","(0, 30)","(4, 9)"
"(15, 2)","(9, 5)","(5, 9)"
"(15, 3)","(9, 6)","(12, 6)"
"(16, 2)","(11, 5)","(17, 5)"
"(16, 3)","(11, 6)","(17, 6)"
"(17, 2)","(10, 5)","(6, 9)"
"(17, 3)","(10, 6)","(6, 10)"
"(27, 0)","(19, 1)","(17, 1)"
"(0, 28)","(1, 18)","(1, 42)"
"(0, 29)","(1, 19)","(1, 41)"
"(5, 9)","(9, 5)","(15, 2)"
"(6, 9)","(10, 5)","(17, 2)"
"(4, 12)","(8, 8)","(12, 4)"
"(28, 0)","(39, 1)","(41, 1)"
"(29, 0)","(19, 1)","(27, 0)"
"(5, 10)","(9, 6)","(15, 3)"
"(6, 10)","(10, 6)","(17, 3)"
"(1, 19)","(0, 27)","(4, 14)"
"(0, 30)","(1, 18)","(1, 33)"
"(18, 1)","(12, 4)","(4, 12)"
"(5, 11)","(9, 7)","(2, 15)"
"(6, 11)","(10, 7)","(3, 15)"
"(12, 4)","(8, 8)","(18, 1)"
"(9, 5)","(5, 9)","(15, 2)"
"(1, 20)","(0, 33)","(4, 16)"
"(9, 6)","(5, 10)","(15, 3)"
"(10, 5)","(6, 9)","(17, 2)"
"(1, 22)","(0, 31)","(4, 14)"
"(10, 6)","(6, 10)","(17, 3)"
"(1, 21)","(4, 12)","(12, 4)"
"(0, 31)","(1, 22)","(1, 32)"
"(0, 32)","(1, 23)","(1, 31)"
"(1, 23)","(0, 32)","(0, 37)"
"(0, 33)","(1, 20)","(1, 24)"
"(19, 1)","(14, 4)","(27, 0)"
"(11, 5)","(7, 9)","(16, 2)"
"(8, 8)","(12, 4)","(4, 12)"
"(11, 6)","(7, 10)","(16, 3)"
"(0, 34)","(1, 24)","(0, 33)"
"(0, 35)","(1, 34)","(0, 36)"
"(1, 24)","(0, 34)","(0, 33)"
"(7, 9)","(11, 5)","(11, 8)"
"(2, 18)","(5, 9)","(5, 12)"
"(3, 18)","(6, 9)","(6, 12)"
"(0, 36)","(1, 21)","(4, 13)"
"(9, 7)","(5, 11)","(4, 14)"
"(7, 10)","(11, 6)","(10, 7)"
"(20, 1)","(13, 4)","(12, 4)"
"(10, 7)","(6, 11)","(7, 10)"
"(4, 14)","(1, 22)","(8, 11)"
"(4, 13)","(20, 1)","(1, 21)"
"(0, 37)","(1, 23)","(1, 27)"
"(21, 1)","(14, 4)","(16, 4)"
"(7, 11)","(11, 7)","(11, 10)"
"(22, 1)","(15, 4)","(35, 0)"
"(4, 16)","(1, 25)","(8, 9)"
"(30, 0)","(20, 1)","(18, 1)"
"(4, 15)","(8, 11)","(4, 14)"
"(23, 1)","(17, 4)","(21, 4)"
"(13, 4)","(20, 1)","(18, 1)"
"(14, 4)","(21, 1)","(19, 1)"
"(4, 17)","(8, 10)","(1, 23)"
"(31, 0)","(32, 1)","(21, 1)"
"(32, 0)","(31, 1)","(23, 1)"
"(11, 7)","(7, 11)","(16, 11)"
"(2, 19)","(5, 10)","(5, 14)"
"(3, 19)","(6, 10)","(6, 14)"
"(5, 12)","(15, 4)","(9, 8)"
"(6, 12)","(10, 8)","(17, 4)"
"(15, 4)","(5, 12)","(2, 21)"
"(24, 1)","(33, 0)","(35, 0)"
"(16, 4)","(11, 8)","(21, 1)"
"(33, 0)","(24, 1)","(15, 4)"
"(17, 4)","(6, 12)","(10, 8)"
"(0, 38)","(1, 19)","(1, 22)"
"(2, 20)","(5, 16)","(5, 18)"
"(3, 20)","(6, 16)","(6, 18)"
"(18, 2)","(12, 5)","(8, 9)"
"(18, 3)","(12, 6)","(8, 10)"
"(34, 0)","(33, 1)","(35, 1)"
"(2, 22)","(5, 14)","(5, 23)"
"(3, 22)","(6, 14)","(6, 23)"
"(2, 21)","(5, 12)","(9, 8)"
"(3, 21)","(6, 12)","(17, 4)"
"(8, 9)","(12, 5)","(18, 2)"
"(35, 0)","(24, 1)","(22, 1)"
"(2, 23)","(5, 22)","(5, 17)"
"(3, 23)","(6, 22)","(6, 17)"
"(1, 25)","(0, 39)","(4, 16)"
"(12, 6)","(8, 10)","(18, 3)"
"(9, 8)","(12, 5)","(5, 12)"
"(1, 26)","(4, 24)","(4, 25)"
"(10, 8)","(17, 4)","(6, 12)"
"(0, 39)","(1, 25)","(4, 16)"
"(12, 5)","(8, 9)","(9, 8)"
"(19, 2)","(14, 5)","(10, 8)"
"(19, 3)","(14, 6)","(10, 6)"
"(2, 24)","(5, 21)","(5, 18)"
"(3, 24)","(6, 21)","(6, 18)"
"(8, 11)","(12, 7)","(4, 15)"
"(8, 10)","(12, 6)","(20, 3)"
"(11, 8)","(7, 12)","(16, 4)"
"(36, 0)","(27, 1)","(23, 1)"
"(37, 0)","(20, 1)","(35, 1)"
"(5, 13)","(2, 21)","(9, 8)"
"(5, 14)","(2, 22)","(9, 11)"
"(6, 13)","(10, 8)","(3, 21)"
"(6, 14)","(3, 22)","(10, 11)"
"(7, 12)","(11, 8)","(16, 4)"
"(20, 2)","(12, 5)","(13, 5)"
"(20, 3)","(12, 6)","(13, 6)"
"(5, 16)","(2, 25)","(9, 9)"
"(21, 2)","(14, 5)","(16, 5)"
"(21, 3)","(14, 6)","(16, 6)"
"(6, 16)","(3, 25)","(10, 9)"
"(5, 15)","(9, 11)","(1, 27)"
"(6, 15)","(10, 11)","(6, 14)"
"(1, 27)","(4, 19)","(0, 37)"
"(22, 2)","(15, 5)","(5, 16)"
"(22, 3)","(15, 6)","(18, 6)"
"(23, 2)","(17, 5)","(21, 5)"
"(23, 3)","(6, 17)","(17, 6)"
"(5, 17)","(12, 7)","(9, 10)"
"(6, 17)","(23, 3)","(10, 10)"
"(12, 7)","(8, 11)","(5, 17)"
"(13, 5)","(20, 2)","(18, 2)"
"(38, 0)","(43, 1)","(19, 1)"
"(13, 6)","(20, 3)","(18, 3)"
"(14, 5)","(21, 2)","(19, 2)"
"(14, 6)","(21, 3)","(19, 3)"
"(0, 40)","(1, 37)","(1, 48)"
"(25, 1)","(39, 0)","(15, 4)"
"(0, 41)","(1, 29)","(1, 40)"
"(0, 42)","(1, 28)","(1, 30)"
"(26, 1)","(24, 4)","(25, 4)"
"(24, 2)","(15, 5)","(26, 1)"
"(24, 3)","(15, 6)","(20, 6)"
"(15, 5)","(9, 9)","(22, 2)"
"(15, 6)","(9, 10)","(5, 17)"
"(4, 18)","(8, 12)","(1, 30)"
"(16, 5)","(11, 9)","(21, 2)"
"(17, 5)","(10, 9)","(3, 25)"
"(2, 25)","(5, 16)","(15, 5)"
"(16, 6)","(11, 10)","(21, 3)"
"(3, 25)","(17, 5)","(10, 9)"
"(39, 0)","(28, 1)","(25, 1)"
"(17, 6)","(10, 10)","(23, 3)"
"(7, 13)","(11, 8)","(17, 5)"
"(7, 14)","(11, 11)","(7, 15)"
"(2, 26)","(8, 12)","(12, 8)"
"(3, 26)","(6, 24)","(6, 25)"
"(8, 12)","(12, 8)","(2, 26)"
"(27, 1)","(40, 0)","(19, 4)"
"(9, 9)","(15, 5)","(5, 16)"
"(13, 7)","(8, 11)","(18, 11)"
"(14, 7)","(7, 15)","(11, 11)"
"(7, 15)","(11, 11)","(14, 7)"
"(7, 16)","(11, 9)","(16, 5)"
"(40, 0)","(29, 1)","(27, 1)"
"(10, 9)","(17, 5)","(6, 18)"
"(9, 10)","(15, 6)","(5, 17)"
"(0, 43)","(1, 29)","(1, 27)"
"(7, 17)","(11, 10)","(16, 6)"
"(9, 11)","(15, 7)","(5, 15)"
"(10, 10)","(17, 6)","(6, 17)"
"(18, 4)","(8, 12)","(12, 8)"
"(28, 1)","(41, 0)","(39, 0)"
"(1, 28)","(0, 42)","(18, 4)"
"(1, 29)","(0, 43)","(4, 19)"
"(29, 1)","(40, 0)","(27, 1)"
"(10, 11)","(17, 7)","(6, 15)"
"(4, 19)","(1, 27)","(1, 29)"
"(0, 44)","(1, 33)","(1, 34)"
"(12, 8)","(18, 4)","(8, 12)"
"(11, 9)","(16, 5)","(7, 16)"
"(41, 0)","(28, 1)","(25, 1)"
"(16, 7)","(11, 11)","(7, 15)"
"(15, 7)","(9, 11)","(12, 11)"
"(11, 10)","(17, 7)","(7, 17)"
"(2, 27)","(5, 19)","(5, 17)"
"(3, 27)","(6, 19)","(6, 17)"
"(17, 7)","(10, 11)","(11, 10)"
"(1, 30)","(0, 45)","(4, 18)"
"(4, 20)","(1, 33)","(8, 16)"
"(19, 4)","(14, 8)","(27, 1)"
"(0, 45)","(1, 30)","(4, 21)"
"(11, 11)","(16, 7)","(7, 15)"
"(4, 22)","(8, 14)","(8, 23)"
"(4, 21)","(8, 12)","(8, 13)"
"(4, 23)","(8, 17)","(1, 37)"
"(42, 0)","(36, 1)","(32, 1)"
"(0, 46)","(1, 34)","(1, 45)"
"(1, 31)","(0, 48)","(4, 32)"
"(1, 32)","(0, 47)","(4, 31)"
"(13, 8)","(20, 4)","(18, 4)"
"(0, 47)","(1, 32)","(1, 37)"
"(25, 2)","(15, 5)","(20, 5)"
"(14, 8)","(21, 4)","(19, 4)"
"(25, 3)","(15, 6)","(20, 6)"
"(1, 33)","(4, 24)","(8, 16)"
"(0, 48)","(1, 31)","(1, 47)"
"(8, 13)","(4, 21)","(4, 18)"
"(8, 14)","(4, 22)","(4, 19)"
"(20, 4)","(13, 8)","(12, 8)"
"(8, 16)","(22, 4)","(15, 8)"
"(21, 4)","(14, 8)","(16, 8)"
"(22, 4)","(8, 16)","(1, 33)"
"(4, 24)","(1, 33)","(22, 4)"
"(8, 15)","(12, 11)","(4, 19)"
"(23, 4)","(17, 8)","(10, 12)"
"(26, 2)","(24, 5)","(25, 5)"
"(26, 3)","(24, 6)","(25, 6)"
"(8, 17)","(12, 10)","(4, 23)"
"(5, 18)","(15, 8)","(8, 16)"
"(6, 18)","(10, 12)","(3, 30)"
"(1, 34)","(0, 46)","(4, 35)"
"(1, 35)","(4, 34)","(0, 45)"
"(0, 49)","(1, 32)","(1, 37)"
"(15, 8)","(5, 18)","(22, 4)"
"(43, 0)","(38, 1)","(27, 1)"
