idx,f_trunc,f_large,p0,p1,p2,p3,p4
0,-0.22140032841762308,-0.221412970445242,30.0173417938275,0.011965131406001736,0.07555098783836456,-0.006424515210273485,-0.049966092090058166
1,-0.22147203271424765,-0.22160539426877918,40.01649776386819,0.010534425191990604,0.060483078563046834,-0.0025250982925560522,-0.046590691681007566
2,-0.22160811173508904,-0.22142147385762204,50.00930011180763,0.010964740561365607,0.061308287556813154,-0.0007982345804629053,-0.04754926127663214
3,-0.2217899062649401,-0.2217868948068401,60.02484228200341,0.01241228639287724,0.008015907067454017,-0.04985734382854895,-0.031101538840425966
4,-0.2218655605719096,-0.22186475721302482,69.99498583719776,0.011103282513782245,0.01163856065100443,-0.049353653955962744,-0.01468303986508029
5,-0.2222013238065299,-0.21661051683661056,80.00462579519464,0.08931519367196261,0.0129819904529031,-0.04992182584795246,-0.01731054526185987
6,-0.22250079225244476,-0.2084948407601987,90.00488051659524,0.09767672659116541,0.014819896619600904,-0.04808255759270398,-0.009871718845837402
7,-0.22301625816718015,-0.14497125193240945,100.00675771077614,0.14057716878655774,0.026982737144791304,-0.04961257899098004,-0.019969630061135328
8,-0.22316238303340732,-0.1441955203305166,110.00913910707342,0.1361936694754502,0.02803524606546045,-0.04892045903635037,-0.01920529328846953
9,-0.22323765020593958,-0.16080242969279854,120.0000819493892,0.12424099148976316,0.02417618546439285,-0.0465376927895957,-0.016345725461634396
10,-0.2233725208876458,-0.1790233533884118,129.99633936060127,0.10528887232298527,0.01908963803551088,-0.04557938648521249,-0.012373690518438622
11,-0.22374382370638163,-0.16611055463128513,140.00587031650358,0.11460794358674961,0.022609209997119826,-0.04930679076114684,-0.016880250654343853
12,-0.22393557973051234,-0.1624828634477621,149.996866,0.11460794358674961,0.022609209997119826,-0.04930679076114684,-0.016880250654343853
13,-0.22415146913430029,-0.18227646278916304,160.0002255050671,0.10181837345074413,0.025339151767505744,-0.04929504810105376,-0.015393036850176258
14,-0.2241834358405253,-0.18049658644023125,169.993992,0.10181837345074413,0.025339151767505744,-0.04929504810105376,-0.015393036850176258
15,-0.22423429467195416,-0.17883965780588001,179.996641,0.10181837345074413,0.025339151767505744,-0.04929504810105376,-0.015393036850176258
16,-0.22435927975640663,-0.17761007069050636,189.997344,0.10181837345074413,0.025339151767505744,-0.04929504810105376,-0.015393036850176258
17,-0.22447288397134416,-0.16660150855083772,200.0011591365981,0.10250203777712079,0.025839443314856388,-0.049679620747536436,-0.010026204919972232
18,-0.22460165102339988,-0.16474120814553528,209.996351,0.10250203777712079,0.025839443314856388,-0.049679620747536436,-0.010026204919972232
19,-0.22472981374882964,-0.16281806930686982,219.997562,0.10250203777712079,0.025839443314856388,-0.049679620747536436,-0.010026204919972232
