idx,f_trunc,f_large,p0,p1,p2,p3,p4
0,-0.3120544340251742,-0.32008013892824283,29.996927205870346,0.099228848350699,0.0537768511322438,-0.026484464200554683,-0.026168482276456146
1,-0.4055507580046327,-0.40781754515313096,40.00856839762327,0.09761764067499296,0.04890653105517589,-0.02837098067737074,-0.027024152861454133
2,-0.5205103737023081,-0.5112851275003496,49.9942935835284,0.0902622935262466,0.04298353312918595,-0.025232938507957894,-0.024619875178856828
3,-0.645967264613821,-0.6258148274576073,60.001278123041445,0.0808691072886067,0.03972046635098732,-0.023164784800938417,-0.022950249838160443
4,-0.7672240476217761,-0.7365632492701872,70.00822878645121,0.07340177891365687,0.03779612397586628,-0.021931072463578873,-0.021664111974808914
5,-0.8598143992368296,-0.831969276968666,79.99850989180908,0.0655439066852853,0.03592182027822788,-0.020280939678662502,-0.020076636641845235
6,-0.9141727922801038,-0.903612945589759,89.99055158949795,0.05936325448413947,0.03374716130499161,-0.017894642121677497,-0.017941116567680028
7,-0.9949528912944332,-0.9985952507150976,100.00463753457382,0.05393767579030218,0.031253527948483226,-0.01443560837026681,-0.014230478083514627
8,-1.1382936989041164,-1.1458218274000322,110.00711425293281,0.05006927379250038,0.029384053635960694,-0.012834356955530734,-0.012427663754011043
9,-1.3200235172845995,-1.3319255320821446,120.0012745417047,0.04746432078996519,0.028370295632143046,-0.011854036800616946,-0.011511282470835146
10,-1.5163802380786007,-1.541598733119351,130.00148421464846,0.044418424838318114,0.02788522200326525,-0.011929886145174077,-0.01146612747050571
11,-1.6872219510031685,-1.7278078653201645,140.00191977267707,0.04290930968021962,0.026823673393701907,-0.011365899710864238,-0.011034729054588596
12,-1.8042515916344082,-1.8574989043977117,149.9964084977673,0.04009295353802064,0.025632807876872245,-0.010518223449103982,-0.010088097550439892
13,-1.9397130035743058,-1.9806981010066964,159.9903696037198,0.03702266509571432,0.02367162329849654,-0.00886455360371544,-0.008530845834419837
14,-2.119930629961416,-2.148217267691779,169.9941211581935,0.034784888085082774,0.022415681836108363,-0.007928968390340723,-0.007573553595029672
15,-2.2980371214698843,-2.3103433486074487,179.99714609152048,0.03272811128707039,0.02136945574526481,-0.007199365038163569,-0.006847208952745376
