tg,drive_amp,detune,f_300_1000_True
164.008911,0.008636,0.014649,-3.83039036
164.962848,0.008576,0.014555,-3.83543587
165.979751,0.008521,0.014483,-3.84479605
167.007842,0.008466,0.014397,-3.86608654
168.04714,0.008404,0.014303,-3.88059116
169.038815,0.008352,0.014224,-3.90503394
170.026627,0.008296,0.01413,-3.92704632
171.002465,0.008243,0.01405,-3.94318513
171.994903,0.00819,0.01397,-3.9587027
172.993537,0.00814,0.013908,-3.97251022
173.998768,0.008086,0.013824,-4.00630141
175.000433,0.008033,0.013741,-4.05022742
175.997167,0.00798,0.013643,-4.10712057
177.004051,0.007933,0.013582,-4.14825496
177.995843,0.007883,0.013502,-4.18816918
179.000104,0.007836,0.013431,-4.21962502
179.998304,0.007785,0.013358,-4.21610112
181.009723,0.007738,0.013283,-4.24138531
182.000542,0.007692,0.013224,-4.23225983
183.003554,0.007645,0.013143,-4.2578191
184.001514,0.007599,0.013075,-4.25589024
185.002419,0.007555,0.013008,-4.23900152
185.9973,0.007508,0.012934,-4.20197121
187.007428,0.007467,0.012864,-4.19851253
187.994814,0.007422,0.012795,-4.16953107
188.995398,0.00738,0.012733,-4.1519742
189.99448,0.007336,0.012671,-4.1185183
191.00361,0.007296,0.012611,-4.10825205
192.006705,0.007253,0.012553,-4.06853905
192.994733,0.00721,0.012477,-4.06014562
194.002917,0.007169,0.012408,-4.04234358
194.99981,0.007132,0.012352,-4.02567352
196.002503,0.007091,0.012286,-4.00293813
197.00513,0.007048,0.012224,-3.96816047
198.009321,0.007014,0.012163,-3.96904921
199.000188,0.006974,0.012112,-3.93021988
200.001076,0.006936,0.012052,-3.90319706
