tg,0,2,9,other
0.0,1.0,0.0,0.0,0.0
0.20023181807199808,0.9999999999963094,5.537367385986237e-20,9.250871404176181e-14,3.5980878602113157e-12
0.40046363614399616,0.9999999994172655,1.2991775151717625e-18,5.587633865779887e-12,5.771473709766377e-10
0.6006954542159942,0.9999999979400117,3.840918556357548e-18,1.3325527734260478e-11,2.046663759357563e-09
0.8009272722879923,0.9999999981171525,8.932471506290828e-18,2.2709467109905786e-11,1.8601380610346737e-09
1.0011590903599905,0.9999999992558161,2.3406934240251305e-17,1.1412982661854794e-10,6.300546188485176e-10
1.2013909084319885,0.9999999950564892,4.405205137267585e-17,2.6784013437166286e-10,4.675672280563432e-09
1.4016227265039864,0.9999999935575424,7.216744281796559e-17,2.3522230715229115e-10,6.207236887123301e-09
1.6018545445759846,0.9999999980621291,1.33468393484698e-16,6.993973070312472e-10,1.2384766084895242e-09
1.8020863626479828,0.9999999789635249,2.1048430848615172e-16,1.2980427189260573e-09,1.9738436496411406e-08
2.002318180719981,0.9999999876333066,3.125340122988486e-16,1.1814839329921167e-09,1.1185212798773988e-08
2.2025499987919788,0.9999999958847777,4.941152201953419e-16,2.37940652927601e-09,1.735818097641191e-09
2.402781816863977,0.9999999763109103,7.168934137337182e-16,3.6341009687251543e-09,2.0054991825336453e-08
2.603013634935975,0.999999969757309,1.0034507420099303e-15,4.107321556349651e-09,2.6135372041394277e-08
2.803245453007973,0.9999999889888407,1.4353708009241529e-15,5.5882896030162585e-09,5.422873141390007e-09
3.003477271079971,0.9999999703945027,1.974896537896954e-15,9.302575664050788e-09,2.0302924882370234e-08
3.2037090891519693,0.9999999332686976,2.6004924405713378e-15,9.366603113290218e-09,5.73647021355775e-08
3.4039409072239675,0.9999999842729829,3.504855790511049e-15,1.2160845940338691e-08,3.56617089317887e-09
3.6041727252959657,0.9999999336523994,4.606109198818433e-15,1.92555901779152e-08,4.7092008536671226e-08
3.8044045433679634,0.9999999179817968,5.8611550960090194e-15,1.899585810698067e-08,6.302234176439624e-08
4.004636361439962,0.9999999615642068,7.575590172060359e-15,2.3551579696506133e-08,1.4884208196233087e-08
4.204868179511959,0.9999999359957442,9.646808597752858e-15,3.314581071139856e-08,3.0858436834486064e-08
4.4050999975839575,0.9999998802134965,1.1991193900407892e-14,3.79807369456233e-08,8.180575566246403e-08
4.605331815655956,0.9999999145807423,1.4950708592666885e-14,3.925925756436696e-08,4.615998591959145e-08
4.805563633727954,0.9999999226198527,1.8589208132575642e-14,5.6458415556242174e-08,2.0921713904049516e-08
