tg,0,2,9,other
0.0,1.0,0.0,0.0,0.0
0.20023181807199808,0.9999999999963101,7.988802620037219e-28,9.250496750634127e-14,3.597384241913149e-12
0.40046363614399616,0.9999999994172493,1.4875097065913635e-24,5.587690091081012e-12,5.771641611228414e-10
0.6006954542159942,0.999999997939913,2.283507928002876e-23,1.3325615964555098e-11,2.0467625603648957e-09
0.8009272722879923,0.9999999981170267,3.3230842068643623e-22,2.2709670213075075e-11,1.8602645403198e-09
1.0011590903599905,0.9999999992558695,2.851696934627309e-21,1.1413053980082517e-10,6.300003876777685e-10
1.2013909084319885,0.9999999950567386,1.2155639964282977e-20,2.678417111709095e-10,4.675421752212423e-09
1.4016227265039864,0.9999999935575955,3.477491199094249e-20,2.352245176078787e-10,6.20718065792225e-09
1.6018545445759846,0.9999999980620483,1.1254547895866104e-19,6.99402849123708e-10,1.2385492828387022e-09
1.8020863626479828,0.9999999789632672,2.786858957223289e-19,1.2980530056924975e-09,1.97386813814834e-08
2.002318180719981,0.9999999876329407,5.53798000663043e-19,1.181497316230681e-09,1.1185563496144774e-08
2.2025499987919788,0.9999999958851227,1.3398237530166112e-18,2.3794316828778767e-09,1.7354468860837988e-09
2.402781816863977,0.9999999763109254,2.802965647784089e-18,3.6341407905516625e-09,2.0054935085467738e-08
2.603013634935975,0.9999999697561965,5.194280859204164e-18,4.107374992537414e-09,2.6136429781860404e-08
2.803245453007973,0.9999999889881553,9.866000531700709e-18,5.5883676415487675e-09,5.423477420711632e-09
3.003477271079971,0.9999999703962185,1.852932475139562e-17,9.302699002716836e-09,2.030108516645108e-08
3.2037090891519693,0.9999999332705753,2.7970286165082364e-17,9.36675203201147e-09,5.7362673518214096e-08
3.4039409072239675,0.999999984273246,4.466170283904556e-17,1.2161050429332577e-08,3.5657056730387733e-09
3.6041727252959657,0.9999999336511515,7.41038869537951e-17,1.925589562425969e-08,4.7092953506242534e-08
3.8044045433679634,0.9999999179789263,1.0609223749611764e-16,1.8996213485144985e-08,6.30248617092327e-08
4.004636361439962,0.9999999615642325,1.6498941000450691e-16,2.3552042514407865e-08,1.4883725176249288e-08
4.204868179511959,0.9999999359980214,2.6027561451985524e-16,3.314644611144207e-08,3.0855534215504914e-08
4.4050999975839575,0.9999998802133084,3.768471827060237e-16,3.798151684050361e-08,8.180517531870713e-08
4.605331815655956,0.9999999145777664,5.246745456838497e-16,3.926016560743468e-08,4.6162067522066426e-08
4.805563633727954,0.9999999226213273,7.766712336316831e-16,5.645965177212258e-08,2.091902225802737e-08
5.005795451799952,0.9999997753650919,1.0355154132581866e-15,6.398166521385736e-08,1.6065324302550534e-07
5.20602726987195,0.9999998932324515,1.3455880100004942e-15,6.529488624977196e-08,4.1472662976235967e-08
5.4062590879439485,0.9999998725918477,1.9099174041701047e-15,9.010161556946089e-08,3.7306536280016965e-08
5.606490906015946,0.999999756913904,2.5232335629052437e-15,9.886684286160124e-08,1.442192522252444e-07
5.806722724087944,0.9999998076567913,3.3293076305873674e-15,1.05533621961273e-07,8.680958552086107e-08
6.006954542159942,0.9999998496252169,4.555376553991492e-15,1.3059878333740885e-07,1.9775997334613136e-08
6.20718636023194,0.9999997117271228,6.066320962852048e-15,1.5676076803151186e-07,1.315121040146855e-07
6.407418178303939,0.999999658782088,7.481491700801437e-15,1.5358309119195288e-07,1.8763481504591683e-07
6.607649996375937,0.999999802199885,9.715046876430271e-15,1.892675532213912e-07,8.532552796577781e-09
6.807881814447935,0.9999995292820393,1.2407169379540732e-14,2.3015599756441403e-07,2.405619532149665e-07
7.008113632519933,0.9999996119843003,1.4886440580019337e-14,2.2288509428045094e-07,1.6513059161632772e-07
7.208345450591931,0.9999997119503089,1.9186604414833568e-14,2.6744507855879813e-07,2.060459564451358e-08
7.408577268663929,0.999999501410871,2.4443753094842456e-14,3.134456762079907e-07,1.851434297508195e-07
7.608809086735927,0.9999994425710044,3.0043824558847395e-14,3.2752400815136044e-07,2.2990495683319033e-07
7.809040904807925,0.9999995892833374,3.7342643628885504e-14,3.5601679779363764e-07,5.469982679299439e-08
8.009272722879924,0.9999994419553423,4.726924238086761e-14,4.351102512799502e-07,1.2293435938921332e-07
8.20950454095192,0.9999991239420416,5.5664379895886926e-14,4.44567557855992e-07,4.31490346878301e-07
8.409736359023919,0.9999994756472135,6.645483257953531e-14,4.779709673267111e-07,4.638175445756332e-08
8.609968177095917,0.9999992046536456,8.228099735647822e-14,5.862499684746585e-07,2.0909630530623764e-07
8.810199995167915,0.999999046227363,9.623309569534355e-14,5.894925678657258e-07,3.6427997388322834e-07
9.010431813239913,0.9999992631576947,1.1601681103226824e-13,6.369806366825998e-07,9.986155346345686e-08
9.210663631311911,0.9999991235577593,1.427694796018256e-13,7.457800297588936e-07,1.30662069557161e-07
9.41089544938391,0.9999988246863476,1.7043337154048369e-13,8.040409390028405e-07,3.7127254324916493e-07
9.611127267455908,0.9999989241824624,1.9863568250290585e-13,8.081786519394812e-07,2.6763868897679044e-07
9.811359085527906,0.9999989867740499,2.398581946212159e-13,9.56799177747106e-07,5.642653458409775e-08
10.011590903599904,0.9999983117008312,2.7881286173837207e-13,1.0428680001729556e-06,6.454308915039751e-07
10.211822721671902,0.9999987360781691,3.1665910375958114e-13,1.0355410921529846e-06,2.283804227597941e-07
10.4120545397439,0.9999986890655067,3.7920265261801776e-13,1.2156849420376613e-06,9.524917302468205e-08
10.612286357815899,0.9999981785098461,4.414080682011339e-13,1.3006289744203206e-06,5.208607392561814e-07
10.812518175887897,0.9999983237281399,5.105350020756957e-13,1.3389290247156832e-06,3.373423247951765e-07
11.012749993959895,0.9999984547968178,6.039084363598587e-13,1.4845668657951604e-06,6.063571399008631e-08
11.212981812031892,0.9999979392971416,7.103577851056272e-13,1.6624446982149595e-06,3.982574497589644e-07
11.41321363010389,0.9999976382975202,7.991699396514754e-13,1.6527014464384685e-06,7.090002353382247e-07
11.613445448175888,0.9999981489121657,9.223461433411868e-13,1.8240131588734755e-06,2.7073754473447573e-08
11.813677266247886,0.9999972765603881,1.0673397920983157e-12,2.0759458825506075e-06,6.474926629974071e-07
12.013909084319884,0.9999973816507934,1.1861508066209422e-12,2.0362329945664504e-06,5.82115027316034e-07
12.214140902391883,0.9999976908707695,1.372464741713002e-12,2.236921163417331e-06,7.220669537999314e-08
12.41437272046388,0.9999970288063009,1.5908339112385377e-12,2.4878628548063606e-06,4.833292546243608e-07
12.614604538535879,0.9999967849682883,1.8035547534069306e-12,2.5641218377481063e-06,6.509080737556943e-07
12.814836356607877,0.999997129144539,2.0518659894411477e-12,2.6612361333003817e-06,2.0961727704976677e-07
13.015068174679875,0.9999967121610053,2.3740756241776894e-12,3.021401751372621e-06,2.6643487068338467e-07
13.215299992751874,0.999995684762612,2.637764214813636e-12,3.1094897450837944e-06,1.2057450075402366e-06
13.415531810823872,0.9999966113728468,2.9330971025520756e-12,3.192229374783263e-06,1.9639484536811086e-07
13.61576362889587,0.9999959483675642,3.3635058252802196e-12,3.646372544800455e-06,4.0525652945068667e-07
13.815995446967868,0.9999953289320203,3.727246820266084e-12,3.7008761460027623e-06,9.701881083943282e-07
14.016227265039866,0.9999958360839639,4.189226716527347e-12,3.850163881187328e-06,3.137479674951996e-07
14.216459083111864,0.999995483772676,4.793691099075827e-12,4.25831281585312e-06,2.579097165843937e-07
14.416690901183863,0.9999946452141785,5.3979126432116864e-12,4.512532817600087e-06,8.422476090334334e-07
14.616922719255859,0.9999947110066122,5.959973065914645e-12,4.509271892232052e-06,7.79715537369872e-07
14.817154537327857,0.9999949175265725,6.73885310791615e-12,5.0008979910767775e-06,8.15686982911733e-08
15.017386355399855,0.9999931945923521,7.485329132469073e-12,5.3822904777729694e-06,1.4231096858477022e-06
15.217618173471854,0.9999940141550168,8.133062711609403e-12,5.308504962311416e-06,6.773318914614953e-07
15.417849991543852,0.9999939811600488,9.175635713726873e-12,5.876908732816489e-06,1.419220468695889e-07
15.61808180961585,0.9999926449846054,1.020940088615351e-11,6.235657930233675e-06,1.1193472577519484e-06
15.818313627687848,0.9999928531468616,1.1265981337878727e-11,6.342831961991813e-06,8.040099118985276e-07
16.018545445759848,0.9999931158041327,1.2622859137249593e-11,6.743672972564929e-06,1.405102738325972e-07
16.218777263831843,0.9999919041326019,1.4155798302572914e-11,7.34729529921408e-06,7.485579444135211e-07
16.41900908190384,0.9999909681897525,1.538199604826942e-11,7.367295668358862e-06,1.6644991994205386e-06
16.61924089997584,0.9999921337251502,1.69423439349091e-11,7.775402576624501e-06,9.08553317938193e-08
16.819472718047837,0.9999902532463846,1.88339018460296e-11,8.595855542965463e-06,1.150879241116717e-06
17.019704536119836,0.9999901190191522,2.030341144215515e-11,8.505657718983019e-06,1.3753028274823952e-06
17.219936354191834,0.9999908022576189,2.245954957194346e-11,9.001768431326268e-06,1.9595149156537876e-07
17.420168172263832,0.9999893764059703,2.5005321004763733e-11,9.771920828136481e-06,8.516482004647954e-07
17.62039999033583,0.9999886823928243,2.7394728039810446e-11,1.0025580484440826e-05,1.291999298062661e-06
17.82063180840783,0.9999892204082151,2.999720108954943e-11,1.0211408732467207e-05,5.681530573241342e-07
18.020863626479827,0.9999884036052362,3.333694976807502e-11,1.1193357805751976e-05,4.030036223759624e-07
18.221095444551825,0.9999860421674108,3.6100397691224134e-11,1.1572807888223436e-05,2.384988601773259e-06
18.421327262623823,0.9999877977500781,3.888246850861296e-11,1.1646327549187114e-05,5.558834919301945e-07
18.62155908069582,0.9999865960581131,4.301407608265308e-11,1.2837823975061439e-05,5.660748986066334e-07
18.82179089876782,0.9999849582070125,4.6502565402697244e-11,1.311532343103135e-05,1.926423056728674e-06
19.022022716839817,0.9999858624181659,5.0583345900223646e-11,1.3410454249105377e-05,7.270770040494551e-07
19.222254534911816,0.9999852207955605,5.5888206621007537e-11,1.4402253731870416e-05,3.768948215546867e-07
19.422486352983814,0.9999834087123349,6.117998616693267e-11,1.5141649593114664e-05,1.4495768919225682e-06
19.622718171055812,0.99998317222823,6.58289289767383e-11,1.5125486763531026e-05,1.7022191814816615e-06
19.82294998912781,0.999983699033101,7.202303471541296e-11,1.620587806480287e-05,9.501681298122714e-08
20.02318180719981,0.9999802702269438,7.82005030168153e-11,1.7318907970978367e-05,2.4107868854389833e-06
20.223413625271807,0.9999814027772251,8.315013682036642e-11,1.70700121525029e-05,1.5271274730008703e-06
20.423645443343805,0.9999815092777742,9.096233325673491e-11,1.831084446015048e-05,1.7978680520891816e-07
20.623877261415803,0.999978762446718,9.889121492078181e-11,1.934001698782203e-05,1.8974374059986312e-06
20.8241090794878,0.9999788934120575,1.0654866218995244e-10,1.9573439688038268e-05,1.5330417072838051e-06
21.0243408975598,0.9999793331257932,1.1603340535810509e-10,2.0350169116697642e-05,3.1658905847716937e-07
21.224572715631798,0.9999770517865266,1.268482049300311e-10,2.1828678995035817e-05,1.1194076314427281e-06
21.424804533703796,0.9999748650981718,1.3538816466773032e-10,2.203178520742198e-05,3.1029812339379926e-06
21.625036351775794,0.9999770398881802,1.4542261628966946e-10,2.2689014507080364e-05,2.70951891617203e-07
21.825268169847792,0.999973708471642,1.5812170806544673e-10,2.464063127409873e-05,1.6507389646174398e-06
22.02549998791979,0.9999727825440959,1.6776192486903543e-10,2.4566422838861047e-05,2.650865307348366e-06
22.22573180599179,0.9999740800601067,1.8104172832794117e-10,2.5464487277021303e-05,4.552715767316067e-07
22.425963624063783,0.9999715596649366,1.9707161805851854e-10,2.7223534262491988e-05,1.2166037317798247e-06
22.62619544213578,0.9999699657321353,2.1188425336523986e-10,2.788714541040842e-05,2.146910571607991e-06
22.82642726020778,0.9999705895471908,2.2714682008395528e-10,2.8146658942022432e-05,1.2635667220053827e-06
23.026659078279778,0.9999693193216844,2.4665097464100255e-10,3.018524318922689e-05,4.951884767541349e-07
23.226890896351776,0.9999647914364481,2.632865920524183e-10,3.1303703222482404e-05,3.9045970466679655e-06
23.427122714423774,0.9999675481809933,2.785430867561054e-10,3.1190966041157867e-05,1.2605744244178712e-06
23.627354532495772,0.9999657354362733,3.0166587539223714e-10,3.3613592411770394e-05,6.506696497522507e-07
23.82758635056777,0.9999622430786367,3.2158741947344216e-10,3.4510514173961613e-05,3.246085603214796e-06
24.02781816863977,0.9999636292730059,3.4328249849000816e-10,3.495701360738412e-05,1.4133701051854064e-06
24.228049986711767,0.9999626756769708,3.714630597073879e-10,3.6844543406382156e-05,4.79408162176025e-07
24.428281804783765,0.9999592994494092,3.9989583164721973e-10,3.8557363013295846e-05,2.1427876831301974e-06
24.628513622855763,0.9999582664469865,4.239265494246457e-10,3.858594030968634e-05,3.1471887809138898e-06
24.82874544092776,0.9999594358101016,4.546706462717071e-10,4.043677353421467e-05,1.2696169481424e-07
25.02897725899976,0.9999535362875072,4.86906337249187e-10,4.2984363489596055e-05,3.4788621007447304e-06
25.229209077071758,0.9999546208062104,5.112905293526616e-10,4.245696821199795e-05,2.9217142896881317e-06
25.429440895143756,0.9999551238680711,5.487866721288831e-10,4.4628433409665674e-05,2.4714973401954145e-07
