tg,drive_amp,detune,f_900,f_charge_60,f_60_170us,f_60_30us,f_60_3us,f_50,f_60,f_70,f_80,f_90,f_100,f_110,f_120,f_130,f_140,f_150,f_160,f_170,f_180,f_190,f_200,f_300,f_400,f_500,f_600,f_700,f_800,f_low200_1e3,f_low1000_mstep0,f_low1000_1e3,f_low2000_1e3
97.911043,0.016379,0.024548,-2.37643447,-2.44864877,-2.43304827,-2.39070371,-2.08817085,-2.00630764,-2.44864879,-2.46454232,-2.46400861,-2.39993941,-2.41671052,-2.42808814,-2.42965952,-2.42976095,-2.42803493,-2.41676526,-2.28624593,-2.29083081,-2.31255657,-2.31836979,-2.31802376,-2.37083949,-2.37114019,-2.37600737,-2.37611468,-2.37640269,-2.37627035,-2.46501419,-2.28690497,-2.373819,-2.37804554
104.063579,0.015087,0.022589,-2.09866488,-2.1442522,-2.13654668,-2.1143768,-1.92708902,-1.97832982,-2.1442522,-2.14652061,-2.147418,-2.13485976,-2.13628952,-2.1384039,-2.13882437,-2.13886853,-2.13778406,-2.13563587,-2.10377951,-2.10420074,-2.10260987,-2.10671297,-2.10624342,-2.09805459,-2.09867313,-2.09863771,-2.09858945,-2.09855001,-2.09846715,-2.14796798,-2.07472581,-2.09842458,-2.09854822
110.011572,0.014146,0.020779,-2.3182964,-2.35454828,-2.34193337,-2.30501962,-2.03056436,-2.2897427,-2.35454827,-2.34837348,-2.3511242,-2.36183883,-2.34602103,-2.34435251,-2.34449687,-2.34466425,-2.34222055,-2.34622519,-2.33399269,-2.33267276,-2.32570824,-2.32767596,-2.32821763,-2.31903081,-2.31925452,-2.31851457,-2.31832416,-2.31840062,-2.31837914,-2.35080957,-2.32939925,-2.31760094,-2.31699945
116.081819,0.013307,0.020056,-2.81631485,-2.85784036,-2.81847957,-2.71519935,-2.19823364,-2.67132051,-2.85784026,-2.84908223,-2.85401862,-2.86839937,-2.83690854,-2.83482714,-2.83518416,-2.83549272,-2.83109368,-2.84681526,-2.83715234,-2.83542505,-2.82498441,-2.82669527,-2.8283442,-2.8181581,-2.81777772,-2.81671332,-2.816572,-2.81654522,-2.81646101,-2.85318737,-2.83218807,-2.8154714,-2.81459145
121.899104,0.012552,0.019398,-3.14770755,-3.17110381,-3.09286131,-2.91400653,-2.24680361,-2.79390246,-3.17110381,-3.17217467,-3.1746501,-3.16308499,-3.14283006,-3.14451575,-3.14540834,-3.1456278,-3.14171797,-3.16468526,-3.1606311,-3.16055564,-3.15360061,-3.15453605,-3.15629906,-3.15017148,-3.14884686,-3.14806784,-3.1480957,-3.14797689,-3.14760429,-3.17577666,-3.04780724,-3.14931936,-3.14750449
127.989493,0.011846,0.018614,-2.99409827,-2.997641,-2.99071404,-2.80673341,-2.21549248,-2.7360322,-2.99764102,-3.00198748,-3.00131564,-2.98832995,-2.98846775,-2.99034587,-2.99083435,-2.99086297,-2.99005464,-2.99753764,-2.99719588,-2.9976434,-2.99672271,-2.99689401,-2.99726097,-2.99551971,-2.99425781,-2.99415142,-2.99435555,-2.99427467,-2.99418619,-3.00281138,-2.93048677,-2.99602704,-2.99451056
134.04404,0.011216,0.01771,-3.04938118,-3.05399916,-3.05399916,-2.83667618,-2.21194909,-2.85643873,-3.05399917,-3.05448739,-3.05412257,-3.0497502,-3.05006892,-3.05049695,-3.05065731,-3.05070592,-3.05060315,-3.05334933,-3.0532911,-3.0533106,-3.0531457,-3.05318343,-3.05324702,-3.05095819,-3.0493629,-3.04944811,-3.04953226,-3.04948637,-3.04939207,-3.05347878,-3.00247298,-3.04986747,-3.04878384
140.029224,0.010651,0.016991,-3.27204811,-3.27984115,-3.22222779,-2.95266526,-2.22671711,-3.01084968,-3.27984117,-3.28322385,-3.28075064,-3.26895463,-3.27596765,-3.27725488,-3.27761069,-3.27756023,-3.27748045,-3.27870776,-3.27869022,-3.27899014,-3.27906842,-3.27911241,-3.27912526,-3.27391122,-3.27200628,-3.272045,-3.27177286,-3.27171384,-3.27156253,-3.28098789,-3.20980019,-3.27390397,-3.27218521
146.026626,0.010146,0.016335,-3.33467162,-3.34268562,-3.32309855,-2.97398525,-2.2205024,-3.07832396,-3.34268564,-3.34759426,-3.34405071,-3.33028446,-3.33973292,-3.34123161,-3.34169705,-3.34157532,-3.34145966,-3.34178348,-3.3417699,-3.34215637,-3.3423231,-3.34236936,-3.34237526,-3.33610019,-3.33496705,-3.33491463,-3.3345882,-3.33447308,-3.33425873,-3.34513451,-3.24816665,-3.33746016,-3.33620284
151.995423,0.009679,0.01572,-3.32043818,-3.32580014,-3.20675351,-2.95927028,-2.20733275,-3.0842132,-3.32580018,-3.33247257,-3.32853207,-3.31362478,-3.32386279,-3.32565947,-3.32622502,-3.32605312,-3.32590059,-3.32596924,-3.32596808,-3.32641472,-3.32663024,-3.32669032,-3.32668199,-3.32153624,-3.32102121,-3.32093052,-3.32069127,-3.32057124,-3.32025653,-3.33197628,-3.22008308,-3.32469565,-3.32259296
158.03957,0.009263,0.015107,-3.48559768,-3.49197201,-3.32309855,-3.01347942,-2.20432891,-3.25707305,-3.49197204,-3.49593635,-3.49214161,-3.48149344,-3.48952872,-3.49040841,-3.49087652,-3.49080649,-3.49073251,-3.49075145,-3.49071475,-3.49098602,-3.49115418,-3.49119019,-3.49118442,-3.48658523,-3.48651617,-3.48636439,-3.48608222,-3.48592205,-3.48577994,-3.49200392,-3.27067367,-3.4875757,-3.48664502
164.005209,0.008876,0.014574,-3.71750123,-3.72260977,-3.4601214,-3.0668349,-2.20065544,-3.40125663,-3.72260983,-3.73107283,-3.72514796,-3.70737137,-3.72011754,-3.72196594,-3.72279016,-3.72266525,-3.72250003,-3.72252551,-3.72249312,-3.72295341,-3.7232273,-3.72326382,-3.72329262,-3.71877976,-3.71842938,-3.71835678,-3.71785353,-3.71788036,-3.71743746,-3.72840938,-3.25499801,-3.7226449,-3.72029909
170.004681,0.008521,0.01407,-3.82769393,-3.83007849,-3.50939352,-3.07708265,-2.19034525,-3.49989107,-3.83007856,-3.83866269,-3.83329057,-3.81677863,-3.82858273,-3.83037707,-3.83119434,-3.83108298,-3.83092796,-3.83096349,-3.8309555,-3.83135903,-3.8316244,-3.83165406,-3.83169,-3.82884704,-3.82847917,-3.82840884,-3.8279855,-3.82724239,-3.82784855,-3.83740315,-3.56424606,-3.83313881,-3.83073411
176.000245,0.00819,0.013584,-3.97314626,-3.9735069,-3.56469358,-3.08687402,-2.17943652,-3.62264389,-3.97350698,-3.98128796,-3.97687995,-3.96259502,-3.97287598,-3.97445892,-3.97519833,-3.97504206,-3.97490536,-3.97494885,-3.97495919,-3.97528265,-3.97553565,-3.97558736,-3.97556855,-3.97392802,-3.9736144,-3.97363708,-3.97329622,-3.97329989,-3.97316288,-3.98000593,-3.37345965,-3.97752246,-3.97506584
182.010007,0.00788,0.013127,-4.26691943,-4.26339398,-3.64702316,-3.10204416,-2.16903589,-3.77925284,-4.26339414,-4.27691468,-4.27192154,-4.25199585,-4.26574689,-4.26861699,-4.26962993,-4.26921486,-4.26893014,-4.26901325,-4.26907849,-4.26949845,-4.2697963,-4.26985773,-4.26986772,-4.26826516,-4.26782363,-4.26780076,-4.2672055,-4.2671728,-4.26693079,-4.27986584,-3.70459594,-4.27628336,-4.27230093
188.012436,0.007596,0.01271,-4.40617017,-4.39744373,-3.66618797,-3.09713966,-2.15675331,-3.87696264,-4.39744394,-4.41230023,-4.41005286,-4.39384028,-4.40458176,-4.40787525,-4.40859422,-4.40811307,-4.40771442,-4.40782581,-4.40793852,-4.40823994,-4.40839248,-4.40836703,-4.40850694,-4.40727894,-4.40673541,-4.40674646,-4.40627161,-4.40621063,-4.40616345,-4.41976552,-3.38723121,-4.41677341,-4.41265086
193.987562,0.007333,0.012326,-4.34306262,-4.33251505,-3.64415276,-3.08123326,-2.1436433,-3.89799148,-4.33251525,-4.34455681,-4.34526085,-4.33678064,-4.34198187,-4.34478166,-4.3450338,-4.34470078,-4.3443098,-4.34440564,-4.34454217,-4.34468055,-4.34473137,-4.34471349,-4.3447556,-4.34382225,-4.34327559,-4.34321918,-4.34295796,-4.3430358,-4.34300095,-4.3568198,-3.49956147,-4.35297723,-4.34808835
