tg,0-0,0-1,1-1,1-0,other
0.0,1.0,0.0,0.0,0.0,0.0
0.1842631162324649,0.9999999895402185,9.473383900393008e-09,9.20988710910213e-19,9.770597421933652e-10,9.337722420479711e-12
0.3685262324649298,0.9999998492600918,1.3639692020636703e-07,1.8696894381197333e-16,1.4314567790422305e-08,2.841993706729302e-11
0.5527893486973947,0.999999227916529,6.990269455823707e-07,4.8906354468764825e-15,7.300578948985373e-08,5.073120180478399e-11
0.7370524649298597,0.9999974738317443,2.2888886566359135e-06,5.2666336637716716e-14,2.3719917373285042e-07,8.03725306764601e-11
0.9213155811623246,0.9999935774868204,5.822117022133862e-06,3.456971542057618e-13,6.002734224135989e-07,1.2238954902279022e-10
1.1055786973947894,0.9999861561150156,1.2548819055363259e-05,1.6499436568340742e-12,1.2948725634314409e-06,1.9171564715419038e-10
1.2898418136272545,0.999973515699375,2.398677059732688e-05,6.2861307523323165e-12,2.49713760720174e-06,3.861344729896704e-10
1.4741049298597193,0.9999538047147651,4.176678429712917e-05,2.0199207075583812e-11,4.427547944433505e-06,9.327941469674822e-10
1.6583680460921841,0.9999252430830764,6.740727173173375e-05,5.670628454238261e-11,7.347377038233238e-06,2.2114471244406954e-09
1.8426311623246492,0.9998863792118272,0.00010206518687234425,1.4248808630277916e-10,1.1550690909032654e-05,4.767903101961161e-09
2.0268942785571142,0.999836308329823,0.00014632917898153142,3.261541712752412e-10,1.735291544235208e-05,9.249599066901924e-09
2.211157394789579,0.9997747844749966,0.00020012048981303738,6.893587762615642e-10,2.5078058930919633e-05,1.6286900774902417e-08
2.395420511022044,0.9997021913296342,0.00026273491486575426,1.3599839553749825e-09,3.504602905581346e-05,2.636646020938838e-08
2.579683627254509,0.9996193080221785,0.0003330798681590864,2.528080731153738e-09,4.756982165132234e-05,3.975993047946067e-08
2.7639467434869736,0.9995270126723661,0.00040997277186053164,4.464432046179653e-09,6.29535555065432e-05,5.653583465085564e-08
2.9482098597194386,0.9994259064853285,0.0004925049584823767,7.545793121198186e-09,8.150427673927314e-05,7.673365676495142e-08
3.1324729759519037,0.9993160053267818,0.0005803285613537567,1.2292399911406922e-08,0.00010355303691635794,1.0078254839866728e-07
3.3167360921843683,0.999196588645741,0.0006737773885905178,1.942663214785747e-08,0.00012948475497415236,1.2978406205370137e-07
3.5009992084168333,0.9990662705952672,0.0007737603997779947,2.9963606797237346e-08,0.00015977344498524908,1.6559636277041115e-07
3.6852623246492984,0.9989233027763744,0.0008814233409404693,4.5344659102980566e-08,0.00019501766575787485,2.1087226829427937e-07
3.869525440881763,0.9987660567476996,0.0009976369669708093,6.762108961611992e-08,0.00023596962123937395,2.690430007696434e-07
4.0537885571142285,0.9985935756036531,0.001122428939744453,9.96907031483403e-08,0.000283551700701224,3.4406519808667083e-07
4.238051673346693,0.9984060586593291,0.001254501855394006,1.4557800908051412e-07,0.000338854283616442,4.3962365110888505e-07
4.422314789579158,0.9982051426465935,0.0013909770736256141,2.107368504224932e-07,0.00040311119403695496,5.583488933951496e-07
4.606577905811623,0.9979938838857079,0.0015274608222747166,3.023388455594288e-07,0.0004776519452836108,7.010078883710046e-07
4.790841022044088,0.9977764116306941,0.0016584594971703792,4.2949878158241816e-07,0.0005638336063506318,8.657670033318381e-07
4.975104138276553,0.9975572992792455,0.0017780905902190548,6.033831800054336e-07,0.0006629589634570736,1.0477838982130296e-06
5.159367254509018,0.9973407672171531,0.0018809648694307424,8.371603854616272e-07,0.0007761910950282388,1.2396580022060284e-06
