2.466730765544496577e-18,1.001723415113690644e-18,1.483803022012586197e-18,4.788837289387962130e-19,2.850375324201004789e-18,3.176081009966394457e-19,4.592964859111679376e-19,9.683043728880864324e-20,2.576222177538276877e-18,2.409349807334920903e-18,8.420614732817678698e-19,5.184978600088000244e-18,3.428234130333863602e-17,1.639717620387016869e-16,7.624148134216842941e-16,3.438540289038840046e-15,1.494472354243111366e-14,6.248271682565905064e-14,2.513340844480796052e-13,9.724068077037944306e-13,3.618755574888486210e-12,1.295526828830578116e-11,4.462745492511334521e-11,1.479482636292897251e-10,4.720518172512063217e-10,1.449287260699594064e-09,4.279584024496325033e-09,1.214656706536854228e-08,3.311655456445435334e-08,8.670256390456745692e-08,2.180144010515724825e-07,5.269092134424044103e-07,1.225590032417752853e-06,2.747940977067905650e-06,5.948625790439500679e-06,1.244957063931117460e-05,2.521374601740897128e-05,4.944613551215787850e-05,9.392828483626946526e-05,1.728545631111422514e-04,3.080723081643637652e-04,5.311720364724938645e-04,8.839447590325734535e-04,1.414390622148351028e-03,2.164556051152425383e-03,3.147918186078445604e-03,4.319976607403049410e-03,5.555613216193204876e-03,6.654065217505463099e-03,7.386110227407989559e-03,7.573831008066006683e-03,7.164918016281399127e-03,6.257197860355395366e-03,5.057133990961891652e-03,3.798044456681111750e-03,2.664683580312702128e-03,1.757032322434967349e-03,1.095689526471790593e-03,6.501504949914087023e-04,3.691428978556694621e-04,2.015570899453925460e-04,1.062979612223036320e-04,5.435238090433387590e-05,2.702956309021193452e-05,1.310292409379552783e-05,6.198158998380540490e-06,2.859685821170180395e-06,1.284201980607075403e-06,5.594061948959538800e-07,2.353974390224877498e-07,9.529348124096831641e-08,3.698352825771396032e-08,1.372789464215313400e-08,4.867928956588636513e-09,1.648956287026290534e-09,5.340276988821051651e-10,1.655916070339838339e-10,4.925098592378860451e-11,1.407774013688889390e-11,3.874455004057890372e-12,1.028430646891571442e-12,2.636275814206079458e-13,6.531636357219540892e-14,1.564371698889474105e-14,3.621278890616224760e-15,8.119784734054675744e-16,1.758738999092900422e-16,3.592676127670441131e-17,8.139803188791199959e-18,2.431083275641350377e-18,2.374701644671687212e-18,1.145803234304124561e-18,9.396482574858425305e-19,9.630858327736565034e-19,1.079858559407203834e-18,7.406591332009898407e-19,6.914241600691250878e-19,1.909088550584178232e-18,1.072123785677569705e-18,9.114570645426967573e-19
1.943587575190181791e-18,2.471660275480991344e-18,9.474439196271980209e-19,7.430408348191570661e-19,2.264294448063108562e-18,1.295538763459525425e-18,9.645093556240591105e-19,4.098047222864631351e-19,3.017218724942157008e-18,1.299801042201040018e-18,1.044614390373028892e-18,7.429470436153257774e-18,3.603612382077172317e-17,1.754502597580420117e-16,8.180592078067536604e-16,3.680406334236919120e-15,1.595156757237542212e-14,6.646025938223531845e-14,2.663737026111364829e-13,1.027408464034161020e-12,3.815647462286475475e-12,1.365282871885341127e-11,4.708783908657461845e-11,1.565727701518860170e-10,5.018361788147874304e-10,1.549375363088820092e-09,4.602780282509767420e-09,1.313885429524630148e-08,3.599022959612154241e-08,9.451038138476454053e-08,2.378570645172166653e-07,5.740405372283118145e-07,1.330384874884621918e-06,2.967005100299448173e-06,6.382575386740405012e-06,1.327454939469585784e-05,2.674656710098696316e-05,5.229212894771523756e-05,9.931534791340307735e-05,1.833374533095344643e-04,3.288720934506009002e-04,5.724145208200033747e-04,9.638109229491650682e-04,1.562464397142846123e-03,2.423361740512747220e-03,3.569282837147592577e-03,4.952927987969705376e-03,6.425953789394998894e-03,7.742598826954205475e-03,8.618450499837509646e-03,8.832762124861117184e-03,8.323981111130161759e-03,7.219546374817725765e-03,5.779569444064408534e-03,4.290600250719931244e-03,2.971663826684205721e-03,1.933465213029879207e-03,1.190317271571118656e-03,6.982832581326659134e-04,3.928637875231497968e-04,2.131747727811541474e-04,1.120876575558951769e-04,5.732487516652470105e-05,2.859472371676202986e-05,1.393348259440819010e-05,6.632935285395412388e-06,3.080023253003924849e-06,1.390773583666680872e-06,6.081016485199348643e-07,2.562707557385878917e-07,1.036515617364738027e-07,4.010484143824854683e-08,1.481630650040759346e-08,5.223814983013404322e-09,1.758906099410673390e-09,5.664808150231266292e-10,1.748706687109996420e-10,5.185806733693088223e-11,1.480546666947874351e-11,4.077050845675970667e-12,1.084445297066125473e-12,2.788560348606590918e-13,6.933892321262119629e-14,1.666629032006303830e-14,3.868554612946834953e-15,8.679766735651160133e-16,1.881420224097633765e-16,3.780444226399664990e-17,7.419190578319031061e-18,1.979741572200697449e-18,2.140971453548409831e-18,2.415072915731154114e-18,1.888699005109982021e-18,1.016290158744130293e-18,1.011148152147780382e-18,2.014065068336483027e-19,2.191597152310748291e-19,7.654559012084184528e-19,1.102853358076435420e-18,8.742789810553340373e-19
1.718815694645085695e-18,3.244580112464043733e-18,1.269519395958539964e-18,1.105941478109566505e-18,1.123454580700358032e-18,1.957074782122693174e-18,1.420283940778745611e-18,8.376867393762624671e-19,2.085974174827781655e-18,1.620061364589344021e-18,1.227700663173310567e-18,9.095507072660154040e-18,3.814631615924280271e-17,1.876360714407807792e-16,8.763328848339593301e-16,3.936586247468827196e-15,1.701221666638049631e-14,7.063800757894850348e-14,2.821014475597186003e-13,1.084711915454375949e-12,4.020280602752970830e-12,1.437742547423511872e-11,4.964777486053311534e-11,1.655795160250085297e-10,5.331067040951190417e-10,1.655125088170135138e-09,4.946534587099367367e-09,1.420086967717365063e-08,3.908175286564795792e-08,1.029393291425349938e-07,2.593066287615813066e-07,6.249334510844979387e-07,1.443150549320987458e-06,3.201430167658588251e-06,6.843762353245618099e-06,1.414502816971432417e-05,2.835409427802518221e-05,5.526632176983259636e-05,1.049459333589927745e-04,1.943390109077980995e-04,3.508634188456597933e-04,6.164501393920674907e-04,1.050061492114970439e-03,1.724331167788453007e-03,2.709745661564763423e-03,4.040927854445854062e-03,5.668551093750969633e-03,7.417838305719981831e-03,8.989860495692862316e-03,1.003402308644657168e-02,1.027808563015718268e-02,9.649915699752117590e-03,8.313461246868587493e-03,6.593595998756011760e-03,4.839721481366757172e-03,3.309856452429819212e-03,2.125444826359470640e-03,1.292040400640956333e-03,7.494503519925832221e-04,4.178429480629039278e-04,2.253245620228246549e-04,1.181212764584402904e-04,6.042372180302909060e-05,3.023283684338814222e-05,1.480831743370759797e-05,7.094275670338054275e-06,3.315460184984983111e-06,1.505278301767544167e-06,6.605977590670433953e-07,2.787928393747494504e-07,1.126555014512842017e-07,4.345475502979049187e-08,1.597813325729243371e-08,5.601274634525888304e-09,1.874739401767551272e-09,6.004557818473953308e-10,1.845347217929850045e-10,5.456398113762919988e-11,1.555978415780780843e-11,4.287228300348326975e-12,1.142712194360041803e-12,2.947591584204955385e-13,7.355778602930937477e-14,1.774260417748915677e-14,4.129818008864300705e-15,9.268686662718586013e-16,2.011557406728417037e-16,3.983264341180606392e-17,6.467784121208354524e-18,1.710879011206430454e-18,1.315590968518504071e-18,2.603212493374866287e-18,2.183203778055375643e-18,1.212425864116544153e-18,7.527899070515127429e-19,5.426464277030892940e-19,4.153659522912458182e-19,3.047595024200847027e-19,1.006025990590194315e-18,5.523173008006474132e-19
1.629877759048032331e-18,2.739942817710118469e-18,1.577942973529759130e-18,1.201786370068225488e-18,8.652769306015433317e-19,2.251599629766699735e-18,1.217918436623320386e-18,1.016673372405946515e-18,3.843088272561697148e-19,2.458717687311444905e-18,1.519200488233178097e-18,9.285460056417205609e-18,4.072791235474464839e-17,2.005504519688069925e-16,9.369961173916430024e-16,4.207020430051446546e-15,1.812842130639986859e-14,7.501929024895120492e-14,2.985266984949114577e-13,1.144333687836904989e-12,4.232680186358374636e-12,1.512912828045774615e-11,5.230783317000303937e-11,1.749730635457752498e-10,5.658931376085203726e-10,1.766700005961977584e-09,5.311622275971365439e-09,1.533580391650072244e-08,4.240253113935810753e-08,1.120247604269335652e-07,2.824577817631638742e-07,6.798062709880967748e-07,1.564318466242049685e-06,3.451943267650322540e-06,7.333227134818777524e-06,1.506227335399477157e-05,3.003769332605272878e-05,5.837032852597875168e-05,1.108232820571413481e-04,2.058696720240786278e-04,3.740828199084516529e-04,6.633991038071799292e-04,1.143056013742355060e-03,1.900955240379478004e-03,3.026003390525612048e-03,4.567662084518582348e-03,6.475645484593938253e-03,8.545243890337391596e-03,1.041502056094046127e-02,1.165543823886766757e-02,1.193266835251906473e-02,1.116252311603037686e-02,9.553623207751131205e-03,7.508544511698304197e-03,5.450504706379644126e-03,3.681661823251983646e-03,2.333949850510001495e-03,1.401205718346961327e-03,8.037588552288185478e-04,4.441091849176213489e-04,2.380133232541811533e-04,1.244006435560022323e-04,6.365002633568062735e-05,3.194508397788428455e-05,1.572861472476016898e-05,7.583177546657917758e-06,3.566700811401956692e-06,1.628137381115406223e-06,7.171092435105146460e-07,3.030572357459616844e-07,1.223401871862066797e-07,4.704440911950836385e-08,1.721641632871515026e-08,6.001014264406942537e-09,1.996593763150681558e-09,6.359741546879430409e-10,1.945861123777409204e-10,5.736876972730845223e-11,1.634064876882337042e-11,4.504989276294278516e-12,1.203243486026636257e-12,3.113448710312173105e-13,7.797698837259095733e-14,1.887366356094939967e-14,4.405439651989292747e-15,9.891785762637035912e-16,2.147623860800460586e-16,4.252664454026186489e-17,6.055489391286431137e-18,2.025278139409936506e-18,3.038548982919299614e-19,1.764015913629722893e-18,1.596823272052974325e-18,1.031754442692224863e-18,8.345940894562935682e-19,9.540376766067806541e-19,1.073040251368314856e-18,5.688306740748833047e-19,7.886918515935369710e-19,4.183682909581177936e-19
1.249599527467276727e-18,1.108460899061927150e-18,1.004927755746230654e-18,1.322438242963075107e-18,2.019759359268441676e-18,2.240154383506299428e-18,7.668846922221494021e-19,6.438391673497425684e-19,1.790743423496857186e-18,2.285465667225676529e-18,1.940166695305033202e-18,8.311984575256349683e-18,4.391329707156455719e-17,2.142403312146090334e-16,1.000546545004636420e-15,4.491856213251873462e-15,1.930215412299255088e-14,7.960694739012952153e-14,3.156566315736833003e-13,1.206282900481802660e-12,4.452844367813042397e-12,1.590791291753174439e-11,5.506825130869371881e-11,1.847567793911866870e-10,6.002210825171942261e-10,1.884250585029097321e-09,5.698783172925423807e-09,1.654677239785377347e-08,4.596387090194718388e-08,1.218020431644272714e-07,3.074056414407246242e-07,7.388780688981264932e-07,1.694318540242281431e-06,3.719258602941213354e-06,7.851965810715618135e-06,1.602744240323473383e-05,3.179850826563296692e-05,6.160534950304830549e-05,1.169498654477164971e-04,2.179384166185859971e-04,3.985642016643151445e-04,7.133779011518341000e-04,1.243153117494448946e-03,2.093319814162221751e-03,3.374517520727350183e-03,5.154550371325123358e-03,7.383588960425627006e-03,9.823198317608429139e-03,1.203880868366325949e-02,1.350720528151377366e-02,1.382127486279223147e-02,1.288315592632803541e-02,1.095574299866716207e-02,8.534293015032520455e-03,6.128270344182025660e-03,4.089542492891266694e-03,2.559962773582050675e-03,1.518151607995123350e-03,8.613089643644145782e-04,4.716875097733064519e-04,2.512460797673742919e-04,1.309267001123900044e-04,6.700445347247594363e-05,3.373242419617173430e-05,1.669545568198103539e-05,8.100596511383240632e-06,3.834437014954739000e-06,1.759770137753965475e-06,7.778509538463383370e-07,3.291574585015385389e-07,1.327402618958925108e-07,5.088472610247560838e-08,1.853407744085333269e-08,6.423690586656506305e-09,2.124589817448839360e-09,6.730524462186506627e-10,2.050258032679624735e-10,6.027210711387751269e-11,1.714791701922293405e-11,4.730308330805340652e-12,1.266043909114411511e-12,3.286189016818151885e-13,8.259990346024109914e-14,2.006088628476636380e-14,4.695749363057788111e-15,1.055493968334715807e-15,2.288325835724442141e-16,4.605969488660897566e-17,6.774330737126823336e-18,2.307652252547054932e-18,4.469616087227424628e-19,7.098098303496474684e-19,3.800909220434794665e-19,7.761577015875579811e-19,1.008733214589817200e-18,9.645014616804243920e-19,1.346121525962591836e-18,7.759005776640910492e-19,5.188627824650137422e-19,1.342354616392471038e-18
1.028102486442830689e-18,1.320155566603995262e-18,7.519588752635546282e-19,1.654851570263043435e-18,2.788503529061181284e-18,1.942708825302691052e-18,1.255910174703603694e-18,5.366455580441705032e-19,2.766446742408630953e-18,1.338921434700551519e-18,2.256312644808116566e-18,7.466531167303772993e-18,4.768143839991518940e-17,2.288012453510285711e-16,1.068004555373155828e-15,4.791669806048098796e-15,2.053513147430649047e-14,8.440370155552620707e-14,3.334958639317970603e-13,1.270560453104064969e-12,4.680742052359662427e-12,1.671365451482450087e-11,5.792890499558805947e-11,1.949327144218714654e-10,6.361114619306711673e-10,2.007911853893252647e-09,6.108712174440085540e-09,1.783678097056635204e-08,4.977686740947815018e-08,1.323062394165475502e-07,3.342449265450090918e-07,8.023667425397952422e-07,1.833575144471803438e-06,4.004069900406714723e-06,8.400917406481376594e-06,1.704156471449424725e-05,3.363743394735739414e-05,6.497212863700526394e-05,1.233273059829042770e-04,2.305525801930699635e-04,4.243383379099324184e-04,7.664979572459497056e-04,1.350707191490842533e-03,2.302419667964308858e-03,3.757743996361282562e-03,5.806892705280992592e-03,8.402312779500931139e-03,1.126775856167050970e-02,1.388350148123789971e-02,1.561572642105571104e-02,1.597055639711161129e-02,1.483469295946739444e-02,1.253652448856287099e-02,9.681228487308193853e-03,6.878532784556157589e-03,4.536004717380571344e-03,2.804460507146613706e-03,1.643203997001302895e-03,9.221924630926122812e-04,5.005986007565833623e-04,2.650258205944669475e-04,1.376994252026102878e-04,7.048718685945998448e-05,3.559556828118056349e-05,1.770979871115857169e-05,8.647434449293513349e-06,4.119341125929310860e-06,1.900589989801594779e-06,8.430359166837290901e-07,3.571861173384345888e-07,1.438897784299962645e-07,5.498628907719612408e-08,1.993388111154941849e-08,6.869900487529563411e-09,2.258828794326724047e-09,7.117015758793762455e-10,2.158532555055519120e-10,6.327327185106713257e-11,1.798133929418417369e-11,4.963130704486247250e-12,1.331109810845277552e-12,3.465846665433473269e-13,8.742902815591359735e-14,2.130597447268220928e-14,5.001099195395199690e-15,1.126202398401977643e-15,2.434222789440656037e-16,5.010032057362282739e-17,8.576000744438540317e-18,2.401296855623038820e-18,5.647168545315016008e-19,8.496253463695760422e-19,1.044446589184033150e-18,8.330927064500402846e-19,7.406105793197954130e-19,6.585416305682120615e-19,9.184578869144431238e-19,1.665232030251983505e-18,4.933965993982414683e-19,2.238373338094484600e-18
1.072266906292836047e-18,2.987947656554330438e-18,1.696669051180379663e-18,1.834357578573097618e-18,2.915650311115211213e-18,1.408994495101907714e-18,1.928495012040616185e-18,1.635776856234897566e-18,2.613807754312525749e-18,4.697838875932298626e-19,2.250399882061054909e-18,7.888051134166826237e-18,5.174079968976488262e-17,2.443181186002487472e-16,1.140219305023177665e-15,5.107263794604979669e-15,2.182845373532262365e-14,8.941217584108542892e-14,3.520461724328641163e-13,1.337157994104202113e-12,4.916310793712124917e-12,1.754612064994525253e-11,6.088928067226558809e-11,2.055014823294790181e-10,6.735799669368184996e-10,2.137800957192851270e-09,6.542049211313304487e-09,1.920868873477474427e-08,5.385228180710719396e-08,1.435717452328506922e-07,3.630690177512070137e-07,8.704868313807941968e-07,1.982502579156892322e-06,4.307042060735249282e-06,8.980950257148185390e-06,1.810552160473292716e-05,3.555508807861125248e-05,6.847091128145868619e-05,1.299562972041699664e-04,2.437176613150434279e-04,4.514323469695423279e-04,8.228641972773146837e-04,1.466064681741029076e-03,2.529252667962807524e-03,4.178195304529460676e-03,6.530196270272481743e-03,9.542263273624786504e-03,1.289596722028767822e-02,1.597287944717794630e-02,1.800925400295524947e-02,1.840900242774230755e-02,1.704148169504798860e-02,1.431360359787319132e-02,1.096019355568851605e-02,7.706962671750754341e-03,5.023576593464878018e-03,3.068403804260032199e-03,1.776671967788353646e-03,9.864911074426571322e-04,5.308582480043122281e-04,2.793533077507252198e-04,1.447177586041040577e-04,7.409788899535979501e-05,3.753495238005974741e-05,1.877246064107714448e-05,9.224526703043689464e-06,4.422057946031735889e-06,2.051000015830183011e-06,9.128731228180125301e-07,3.872339373030372550e-07,1.558218140653547768e-07,5.935920862477409178e-08,2.141839432863749432e-08,7.340170299357466355e-09,2.399389973533201478e-09,7.519263136739194958e-10,2.270663104396358456e-10,6.637112043718426285e-11,1.884055313142940824e-11,5.203369985595309470e-12,1.398428073337070740e-12,3.652431048774474487e-13,9.246594513684968451e-14,2.261044067279791818e-14,5.321847826345944897e-15,1.201274102701030695e-15,2.587916991287804880e-16,5.405615252895121971e-17,1.072163385596769629e-17,2.608350081062202687e-18,1.857385055079377100e-19,9.811274423979800765e-19,2.157899302406382142e-18,9.197118447933151081e-19,2.514399961954722838e-19,1.182522525645041091e-18,3.848694026738008515e-19,2.236064463676273292e-18,7.516164117666228931e-19,2.828710243555942234e-18
9.732316655876008883e-19,3.515913294402319481e-18,1.792616513478956630e-18,1.622632546072670501e-18,2.410231467066149325e-18,7.869908344941164877e-19,2.104095990058472372e-18,2.464596099219301208e-18,1.766293367339770369e-18,4.191408622846753722e-19,1.920111894292112354e-18,9.537949516525673402e-18,5.560713577668375590e-17,2.607841507710987766e-16,1.217238379971289142e-15,5.439198718261284247e-15,2.318258316885998470e-14,9.463448144227210632e-14,3.713063422651924432e-13,1.406056932988488698e-12,5.159454885631877802e-12,1.840496430252968838e-11,6.394844850980183394e-11,2.164621384291735889e-10,7.126364957412464021e-10,2.274014622527440014e-09,6.999368635572656946e-09,2.066516794390598823e-08,5.820040645267106518e-08,1.556318906919583918e-07,3.939689074164082053e-07,9.434470751835484645e-07,2.141500051732064350e-06,4.628802059854690550e-06,9.592847474913183603e-06,1.922002551834640029e-05,3.755178291898878163e-05,7.210140222177309293e-05,1.368365241567693279e-04,2.574371265032997604e-04,4.798691472891045335e-04,8.825735099090123610e-04,1.589560018472109103e-03,2.774810062341782728e-03,4.638420330510303891e-03,7.330139733980284809e-03,1.081434823593026284e-02,1.472578366024353096e-02,1.833214827967235769e-02,2.071780514628487543e-02,2.116684880771950092e-02,1.952924313954735105e-02,1.630545993091587695e-02,1.238241659949133183e-02,8.619340800991645915e-03,5.554782693241451519e-03,3.352725473086868701e-03,1.918843032157051048e-03,1.054274937830438101e-03,5.624767894017487346e-04,2.942268845811388863e-04,1.519795251974238566e-04,7.783566169721349071e-05,3.955071139192770536e-05,1.988409720572059618e-05,9.832628372044954261e-06,4.743196045131670969e-06,2.211388036579166745e-06,9.875650640061646890e-07,4.193886684708036605e-07,1.685680461107150007e-07,6.401297832894331787e-08,2.298994361565802403e-08,7.834944607221666479e-09,2.546328083406599385e-09,7.937247237830646854e-10,2.386610736320911753e-10,6.956406181099983706e-11,1.972507644954500438e-11,5.450905714469730491e-12,1.467975284610362950e-12,3.845924616924169015e-13,9.771142891213902874e-14,2.397513289791324973e-14,5.658282298929032667e-15,1.280267538421303004e-15,2.752683156254182853e-16,5.749506580066843827e-17,1.220031817334934141e-17,3.170012237795503539e-18,5.698589146128222409e-19,8.476256360691272500e-19,2.846328712931813415e-18,7.744159229793701191e-19,1.417878605331429482e-18,2.192880843739664073e-18,1.219797688787651265e-18,1.859268336459116207e-18,9.312676641280879406e-19,3.130747344019832200e-18
1.404982559722518182e-18,2.758510555370407972e-18,1.141907533744582618e-18,1.100823960779456445e-18,1.398169327912149859e-18,2.419527780103128629e-19,1.747681779367241159e-18,2.604039593924185388e-18,9.368272350720598787e-19,1.323124133959133439e-18,1.544000344340191028e-18,1.154041825051198440e-17,5.886266095866660300e-17,2.780914998552400054e-16,1.298275174179646335e-15,5.787462619736663139e-15,2.459762135440789726e-14,1.000716014818473153e-13,3.912721112962169546e-13,1.477227742543474548e-12,5.410043626378131278e-12,1.928971698294562009e-11,6.710503644290617395e-11,2.278120601116264854e-10,7.532845887423506503e-10,2.416626556993002987e-09,7.481168098117454323e-09,2.220866120160393472e-08,6.283091881239085706e-08,1.685185006165146127e-07,4.270320383107994310e-07,1.021447715778600150e-06,2.310946174701350661e-06,4.969929129190627040e-06,1.023729159598202238e-05,2.038559861590714758e-05,3.962749690215790096e-05,7.586272435608090801e-05,1.439665849244105940e-04,2.717122142039537450e-04,5.096668969201076111e-04,9.457131232258786553e-04,1.721511179775418732e-03,3.040065546899763972e-03,5.140980720518729605e-03,8.212529192739494166e-03,1.222986653650073689e-02,1.677598679096437700e-02,2.098781974676067544e-02,2.377302765661308895e-02,2.427593640761864166e-02,2.232493438559500151e-02,1.853129814751320811e-02,1.395942386037888824e-02,9.621503168283907642e-03,6.132115121343668235e-03,3.658317410586935017e-03,2.069978095414740874e-03,1.125600531480884297e-03,5.954585419473192595e-04,3.096422872781304843e-04,1.594813617257484755e-04,8.169900753662996229e-05,4.164265232483478624e-05,2.104518291010724597e-05,1.047239980252696356e-05,5.083318352886158852e-06,2.382121225444101328e-06,1.067305018459624773e-06,4.537338872300237004e-07,1.821582896146332572e-07,6.895631963950118446e-08,2.465056974309077327e-08,8.354574674755403386e-09,2.699670667593680242e-09,8.370876138075928592e-10,2.506318022667454149e-10,7.285003343606035626e-11,2.063430122199455045e-11,5.705581370710871417e-12,1.539717326002146172e-12,4.046280339631815281e-13,1.031655514513469089e-13,2.540011181699562299e-14,6.010552497195161033e-15,1.362613921637699055e-15,2.930425650884469433e-16,6.042588826798358174e-17,1.245025151944128490e-17,3.768235124084523548e-18,9.157783400434961113e-19,8.860390841506897173e-19,3.012124261665868089e-18,6.502348758064623013e-19,2.486567624501884929e-18,2.734597000483512796e-18,1.632820929207158258e-18,5.785479662992016400e-19,8.967837724320068646e-19,3.175093315897305418e-18
2.238030146913305326e-18,1.636270288917637506e-18,1.689650914807812594e-18,6.081914651066767649e-19,1.675819257549363775e-19,2.262002209815690920e-19,1.103580501437841260e-18,2.052934708329970027e-18,1.327683855746971429e-18,2.447685878774107250e-18,1.502272346748362330e-18,1.289460418339588268e-17,6.145487270920736947e-17,2.961270927082227180e-16,1.382348280423978405e-15,6.151582107139674053e-15,2.607362975646501574e-14,1.057229313823905157e-13,4.119360957496523596e-13,1.550629602780036907e-12,5.667909646279771380e-12,2.019978239760870078e-11,7.035720533777379940e-11,2.395468304219909020e-10,7.955208648554440728e-10,2.565684795628382780e-09,7.987856997978139836e-09,2.384133619863005938e-08,6.775272454506911878e-08,1.822614172361168899e-07,4.623410337584393207e-07,1.104677547628605767e-06,2.491192997114743187e-06,5.330944258215425357e-06,1.091484850446206310e-05,2.160255092365708456e-05,4.178184647034170128e-05,7.975337849704133321e-05,1.513439141278625892e-04,2.865417397738320021e-04,5.408384216206199016e-04,1.012358903283162121e-03,1.862214910713255083e-03,3.325963107116949782e-03,5.688423645911413508e-03,9.183245275312695854e-03,1.380041955958203302e-02,1.906604653538783792e-02,2.396754737423082565e-02,2.720801127125214991e-02,2.776951434525220391e-02,2.545656427746281064e-02,2.101089634545503029e-02,1.570293236399122189e-02,1.071927684147955077e-02,6.758000985725948900e-03,3.986016507020713820e-03,2.230306145356135590e-03,1.200509211226737484e-03,6.298012348480057712e-04,3.255924618021985685e-04,1.672186468142008975e-04,8.568579269513191003e-05,4.381022788663950648e-05,2.225599043789277184e-05,1.114439135255515508e-05,5.442932082622732830e-06,2.563540262621836786e-06,1.152274091514091716e-06,4.903476926087173545e-07,1.966199990472254413e-07,7.419701694970693707e-08,2.640198041466559543e-08,8.899306591309593442e-09,2.859415446925272297e-09,8.819979957343127517e-10,2.629707977928050402e-10,7.622647915103212396e-11,2.156748802757518722e-11,5.967202965387859934e-12,1.613609235727499967e-12,4.253418982347262133e-13,1.088276414361529688e-13,2.688495177135931269e-14,6.378678441313380861e-15,1.448028098508526651e-15,3.120329213140137260e-16,6.330257805023995265e-17,1.182164986072767703e-17,3.870336129343635711e-18,7.530209992108615807e-19,4.361676047583361256e-19,2.497416073268870654e-18,9.562587197334038517e-19,2.749897321492747928e-18,2.424725287965579168e-18,1.413628911795765665e-18,1.022776747523564404e-18,6.481595400533031061e-19,2.779181674257980736e-18
