tg,drive_amp,detune,f_200_1e3,f_1000_mstep0,f_1000_1e3,f_2000_1e3
93.014189,0.017611,0.025103,-3.03281355,-2.75817215,-2.84873769,-2.85995024
93.911374,0.017371,0.025015,-2.94652805,-2.6705968,-2.77460061,-2.785105
94.926276,0.017128,0.024959,-2.81628865,-2.58984707,-2.67166178,-2.68034009
95.910255,0.016844,0.024808,-2.68674175,-2.43830828,-2.56164716,-2.56865437
96.920065,0.016639,0.024751,-2.56730405,-2.36485617,-2.46457031,-2.47002395
97.911043,0.016379,0.024548,-2.46501419,-2.28690497,-2.373819,-2.37804554
99.038946,0.016183,0.024445,-2.36644706,-2.2040653,-2.28911655,-2.29237896
99.905959,0.015939,0.024154,-2.30364801,-2.16758998,-2.23086286,-2.23327562
100.952316,0.015715,0.023862,-2.23997267,-2.12978291,-2.17400923,-2.1756611
102.050362,0.015478,0.023661,-2.18808769,-2.07770222,-2.12933991,-2.13040581
103.065573,0.015313,0.023106,-2.15984397,-2.06997084,-2.10483953,-2.10544311
104.063579,0.015087,0.022589,-2.14796798,-2.07472581,-2.09842458,-2.09854822
105.04587,0.014913,0.022187,-2.15189379,-2.09096985,-2.10666885,-2.10652974
106.071549,0.014753,0.021893,-2.17075398,-2.12006349,-2.12846768,-2.12814569
107.072959,0.014603,0.021621,-2.20152464,-2.15882097,-2.16154579,-2.16110103
108.08863,0.01444,0.021254,-2.24520839,-2.21379543,-2.20843561,-2.20793345
109.088723,0.014304,0.021016,-2.29686835,-2.27243148,-2.26147374,-2.26092615
110.011572,0.014146,0.020779,-2.35080957,-2.32939925,-2.31760094,-2.31699945
111.01862,0.014026,0.020663,-2.41821419,-2.40291232,-2.38416547,-2.38355104
112.104264,0.013861,0.020538,-2.49798199,-2.48255508,-2.46370724,-2.4630836
113.089189,0.013712,0.020449,-2.57616693,-2.55922478,-2.54119984,-2.54044588
114.084367,0.013565,0.020272,-2.66407704,-2.64547332,-2.6295204,-2.62880757
115.056909,0.013425,0.020146,-2.7544212,-2.73115812,-2.719102,-2.71828224
116.081819,0.013307,0.020056,-2.85318737,-2.83218807,-2.8154714,-2.81459145
117.027343,0.013172,0.019927,-2.94149754,-2.91274069,-2.90367462,-2.90276485
118.100265,0.013037,0.019835,-3.03209521,-2.99613142,-2.99360789,-2.99253311
118.955654,0.01292,0.019714,-3.09230661,-3.02226792,-3.05569949,-3.05458236
119.912572,0.012803,0.019606,-3.14182492,-3.05700187,-3.10759419,-3.10627182
121.010727,0.012668,0.019521,-3.17273408,-3.05790575,-3.14138244,-3.13981809
121.899104,0.012552,0.019398,-3.17577666,-3.04780724,-3.14931936,-3.14750449
122.954443,0.012435,0.019284,-3.15850361,-3.06367672,-3.13786739,-3.13636061
123.922428,0.012324,0.019169,-3.12956268,-3.05870106,-3.1134575,-3.11190571
124.958846,0.012176,0.018982,-3.09245349,-2.98162161,-3.08002673,-3.07840837
125.905442,0.012079,0.018908,-3.05890303,-2.96255246,-3.04833007,-3.04661154
127.004846,0.011959,0.018737,-3.02510951,-2.92816499,-3.01734138,-3.01603887
127.989493,0.011846,0.018614,-3.00281138,-2.93048677,-2.99602704,-2.99451056
129.070721,0.01172,0.018366,-2.9905725,-2.92532731,-2.98584301,-2.98482353
130.084681,0.011615,0.018234,-2.98990914,-2.93066666,-2.98560226,-2.98474961
130.992162,0.011523,0.018162,-2.99476991,-2.93184015,-2.99000786,-2.98869476
132.075088,0.011414,0.017943,-3.0081892,-2.96303846,-3.00490826,-3.00402789
133.039336,0.011315,0.01788,-3.02604034,-2.95438804,-3.0217416,-3.02037683
134.04404,0.011216,0.01771,-3.05347878,-3.00247298,-3.04986747,-3.04878384
134.944667,0.011126,0.017594,-3.08265647,-3.00913765,-3.07861039,-3.07741645
136.092276,0.011003,0.017408,-3.12530712,-3.00703518,-3.1205798,-3.11955966
137.091012,0.010911,0.017312,-3.16701504,-3.06970517,-3.16144271,-3.15994382
138.082992,0.010827,0.017209,-3.20933948,-3.1165899,-3.20371291,-3.20242498
138.956093,0.010746,0.0171,-3.24431531,-3.14962646,-3.23832487,-3.23671181
140.029224,0.010651,0.016991,-3.28098789,-3.20980019,-3.27390397,-3.27218521
141.011911,0.01056,0.016873,-3.30585599,-3.19782539,-3.29789922,-3.29605545
142.018324,0.010485,0.016776,-3.32485224,-3.27035638,-3.31746986,-3.31612305
142.96703,0.010398,0.016646,-3.33627458,-3.22827754,-3.3293228,-3.32836948
144.043172,0.010313,0.016563,-3.34601541,-3.29444792,-3.33819939,-3.33671505
144.999307,0.01024,0.016459,-3.34750207,-3.20529549,-3.34057507,-3.33956017
146.026626,0.010146,0.016335,-3.34513451,-3.24816665,-3.33746016,-3.33620284
146.987862,0.010081,0.016272,-3.33520096,-3.21314061,-3.32808515,-3.3264831
148.014861,0.009985,0.016116,-3.32744786,-3.24826355,-3.32043748,-3.31893891
149.00504,0.009903,0.015988,-3.31814918,-3.21711431,-3.31199788,-3.31083739
150.05425,0.00983,0.015909,-3.31990295,-3.13556312,-3.31346215,-3.31223411
150.996298,0.009767,0.015845,-3.32259866,-3.22739773,-3.31616923,-3.31454057
151.995423,0.009679,0.01572,-3.33197628,-3.22008308,-3.32469565,-3.32259296
153.000503,0.009614,0.015602,-3.34977449,-3.23936556,-3.34450867,-3.34359944
154.003702,0.009544,0.015508,-3.36938807,-3.27054611,-3.36440613,-3.36326306
155.033328,0.009466,0.01541,-3.39327889,-3.28963633,-3.38706892,-3.38565618
156.022816,0.009401,0.015319,-3.41959975,-3.29322311,-3.41390811,-3.41256092
157.003472,0.009333,0.015204,-3.45183039,-3.29754257,-3.44731401,-3.44626879
158.03957,0.009263,0.015107,-3.49200392,-3.27067367,-3.4875757,-3.48664502
159.044458,0.00919,0.015017,-3.53656193,-3.28089647,-3.53028524,-3.52840493
160.008577,0.009129,0.014917,-3.58213874,-3.31123055,-3.57735556,-3.57601899
161.006093,0.009063,0.014832,-3.62637174,-3.3732909,-3.62048026,-3.61897848
162.01007,0.009,0.014743,-3.665685,-3.30783047,-3.66002512,-3.65855859
163.019087,0.008938,0.014663,-3.6988802,-3.34620597,-3.69288985,-3.69104968
164.005209,0.008876,0.014574,-3.72840938,-3.25499801,-3.7226449,-3.72029909
165.010757,0.00881,0.014477,-3.75525995,-3.20597775,-3.74910357,-3.74647071
165.97334,0.008754,0.0144,-3.78001933,-3.42900574,-3.7744321,-3.77154072
167.008219,0.008692,0.014314,-3.80265157,-3.39483353,-3.79655884,-3.79382776
167.993224,0.008634,0.014231,-3.81971451,-3.28437834,-3.81448811,-3.81153923
169.039632,0.008573,0.01415,-3.83111236,-3.49377179,-3.82460844,-3.8212127
170.004681,0.008521,0.01407,-3.83740315,-3.56424606,-3.83313881,-3.83073411
171.004772,0.008458,0.013981,-3.84425884,-3.56334005,-3.83785253,-3.83457709
171.99241,0.008408,0.013908,-3.85639078,-3.43105058,-3.85256948,-3.84979206
172.988849,0.00835,0.013819,-3.87871544,-3.45243611,-3.87502841,-3.87206066
174.000117,0.008294,0.013737,-3.90956011,-3.40235805,-3.90558723,-3.90277879
174.998965,0.008242,0.013667,-3.94396993,-3.41049756,-3.93988622,-3.93629463
176.000245,0.00819,0.013584,-3.98000593,-3.37345965,-3.97752246,-3.97506584
177.005661,0.008136,0.013508,-4.01667239,-3.52069648,-4.01307161,-4.00988158
178.00529,0.008083,0.013425,-4.05598566,-3.61937725,-4.05394553,-4.05137074
179.002622,0.008031,0.013349,-4.10195472,-3.78083448,-4.09915123,-4.09616455
180.007637,0.007981,0.013274,-4.15544076,-3.75343227,-4.15401505,-4.15114524
181.016421,0.007929,0.013205,-4.21725259,-3.72985429,-4.2108001,-4.20590937
182.010007,0.00788,0.013127,-4.27986584,-3.70459594,-4.27628336,-4.27230093
182.997495,0.007831,0.013059,-4.336042,-3.79159791,-4.3292279,-4.32274571
184.007056,0.007784,0.012988,-4.3766425,-3.77594428,-4.37264263,-4.36787339
185.003435,0.007736,0.012922,-4.39573856,-3.80985936,-4.38729344,-4.38093152
185.990597,0.00769,0.012852,-4.40251635,-3.86797805,-4.39739668,-4.39163928
187.009155,0.007643,0.012779,-4.40777439,-3.4431565,-4.40648571,-4.40293833
188.012436,0.007596,0.01271,-4.41976552,-3.38723121,-4.41677341,-4.41265086
188.992337,0.007553,0.012652,-4.4304175,-3.49050133,-4.4259236,-4.42025502
190.000742,0.007508,0.012583,-4.42844165,-3.70068997,-4.42595222,-4.42219546
191.00684,0.007461,0.012511,-4.41105668,-3.69228186,-4.40778542,-4.40349218
192.010468,0.007421,0.012451,-4.38607748,-3.70359322,-4.38922604,-4.38822727
192.988995,0.007375,0.012387,-4.37040534,-3.43844586,-4.36578141,-4.36074988
193.987562,0.007333,0.012326,-4.3568198,-3.49956147,-4.35297723,-4.34808835
194.987058,0.007292,0.012263,-4.34927314,-3.48930301,-4.34844312,-4.34524099
195.988153,0.007249,0.012201,-4.34600263,-3.4601241,-4.34285598,-4.3385827
197.002242,0.007207,0.012139,-4.34114798,-3.54879459,-4.33731082,-4.33334898
197.996214,0.007166,0.012078,-4.32919841,-3.29037856,-4.32545245,-4.32052834
198.998445,0.007127,0.012024,-4.30691047,-3.32431055,-4.30266125,-4.29784033
