tg,0,2,9,other
0.0,1.0,0.0,0.0,0.0
0.3337734575110753,0.9999999994189894,2.69823313999378e-25,3.5452038202414897e-12,5.774663854637952e-10
0.6675469150221507,0.9999999984795604,1.1964569201149638e-22,3.1604919885123066e-11,1.4888357391491461e-09
1.001320372533226,0.999999999237338,2.8105197306398373e-21,1.149369678674696e-10,6.477256433367712e-10
1.3350938300443014,0.9999999989894984,2.4033144792567703e-20,2.858865427237224e-10,7.246165859610431e-10
1.6688672875553767,0.9999999953073564,1.2908330272968742e-19,6.118655920201158e-10,4.080778063496312e-09
2.002640745066452,0.9999999868871376,5.548161321090652e-19,1.19084110786111e-09,1.1922021436318494e-08
2.336414202577528,0.9999999667454617,2.062932654562036e-18,2.645129016854437e-09,3.0609410290649474e-08
2.6701876600886028,0.9999999489811068,6.7912088488502885e-18,5.7878593828096625e-09,4.523103467070739e-08
3.003961117599678,0.9999999698872352,1.8520134047305002e-17,9.347830676404072e-09,2.0764934912051884e-08
3.337734575110753,0.9999999748365268,4.205117100023414e-17,1.3141875758817296e-08,1.2021596974474133e-08
3.671508032621829,0.9999999711089812,8.609071717864206e-17,1.781942719020409e-08,1.1071591991464846e-08
4.005281490132904,0.9999999590055264,1.66060279714714e-16,2.3690268972473443e-08,1.7304204723884028e-08
4.339054947643979,0.9999999325016352,3.061544094696362e-16,3.140055648274354e-08,3.609780998455306e-08
4.672828405155055,0.999999841245564,5.63214678718767e-16,4.28646329307115e-08,1.1588980298928421e-07
5.00660186266613,0.9999997720822624,1.0435701914198817e-15,6.458790107610655e-08,1.6332983628075628e-07
5.3403753201772055,0.9999998008540129,1.8369666971051417e-15,8.9078316761936e-08,1.1006767097794476e-07
5.674148777688281,0.9999998415152844,2.9751369665086442e-15,1.0928473809166109e-07,4.919997569639209e-08
6.007922235199356,0.999999842826322,4.581319895029991e-15,1.312719284896084e-07,2.5901745702618714e-08
6.341695692710432,0.9999998072139108,6.887643994341847e-15,1.5593872945405606e-07,3.684735597492513e-08
6.675469150221507,0.999999733314857,1.0171018791933112e-14,1.868267722548362e-07,7.985836043121314e-08
7.009242607732582,0.9999995946306904,1.5042176807253962e-14,2.2414551004182482e-07,1.812237848828574e-07
7.343016065243658,0.9999993492528828,2.256510873565316e-14,2.874227149277204e-07,3.63324380919526e-07
7.676789522754733,0.9999993053837236,3.3471544086503964e-14,3.712119038391644e-07,3.234043392451372e-07
8.010562980265808,0.99999943414731,4.759903746115477e-14,4.368669802663913e-07,1.2898566305687539e-07
8.344336437776883,0.9999994349975928,6.514882562256337e-14,4.972650921336276e-07,6.773724935623572e-08
8.678109895287959,0.9999993703339056,8.759605669400427e-14,5.626396527921231e-07,6.702635441213368e-08
