tg,2-0,5-0,2-1,5-1,other
0.0,1.0,0.0,0.0,0.0,0.0
0.10016216393442623,0.999999999769968,3.860409217555289e-11,1.9119218660340194e-10,3.0292908903137467e-21,2.363282981779127e-13
0.20032432786885246,0.9999999937039308,1.086901950615966e-09,5.205816078842076e-09,2.280473890988832e-18,3.3520272023114353e-12
0.3004864918032787,0.9999999759333624,3.988949502146908e-09,2.0077040434329145e-08,3.1395721361350474e-17,6.493193938589116e-13
0.4006486557377049,0.999999905752383,1.6472816604451756e-08,7.776211685887966e-08,5.133480615555348e-16,1.2684038399982262e-11
0.5008108196721311,0.9999998086665551,3.19420504317846e-08,1.5938858483340154e-07,2.0090628200969686e-15,2.809179880082105e-12
0.6009729836065574,0.9999995304010225,8.285321699388657e-08,3.8671863220502133e-07,1.290746076401455e-14,2.711684905334487e-11
0.7011351475409836,0.9999992616201344,1.2488099614259813e-07,6.134903895676711e-07,3.047543568914011e-14,8.449680381516834e-12
0.8012973114754098,0.9999985327456031,2.618845437676844e-07,1.205327115479776e-06,1.2811407283345552e-13,4.261067703356609e-11
0.9014594754098361,0.9999979905400809,3.4591777245705054e-07,1.6635236494394013e-06,2.3115305383593147e-13,1.8266229273747943e-11
1.0016216393442623,0.9999964643212499,6.402395607923113e-07,2.8953734179993857e-06,7.595784114743391e-13,6.501306784983086e-11
1.1017838032786886,0.9999955580265272,7.817205439301894e-07,3.660214556698511e-06,1.1631980953682137e-12,3.721005950242537e-11
1.2019459672131148,0.9999927851874073,1.3295132802317245e-06,5.885189093131213e-06,3.244138075027804e-12,1.0697764211492105e-10
1.3021081311475409,0.9999914529756108,1.5442034375434943e-06,7.002737974462832e-06,4.460332476393449e-12,7.85195408608719e-11
1.4022702950819672,0.9999868925119275,2.465806354272579e-06,1.0641499502684002e-05,1.1032732245013077e-11,1.7118415640771222e-10
1.5024324590163936,0.9999851146994025,2.7721998487093246e-06,1.2112930319373218e-05,1.4086967389782559e-11,1.5634253761219307e-10
1.6025946229508197,0.999978152691551,4.209278147589537e-06,1.763770079165946e-05,3.1727136059088003e-11,2.977849167511317e-10
1.7027567868852458,0.999975958122973,4.633451975922935e-06,1.9408072253875766e-05,3.847249865786798e-11,3.1432517232635053e-10
1.8029189508196721,0.9999659353855713,6.743757108051855e-06,2.732024588673407e-05,8.021891075736148e-11,5.312169827957726e-10
1.9030811147540985,0.9999634013950984,7.326302595168865e-06,2.927161000350316e-05,9.382133396225502e-11,5.984828220539476e-10
2.0032432786885246,0.9999496482791272,1.0276292907947679e-05,4.007430750465102e-05,1.8314824971302705e-10,9.37314009699011e-10
2.1034054426229507,0.999946893177512,1.1081149238757379e-05,4.2024403995961064e-05,2.0889774256332881e-10,1.060357176950075e-09
