hspace,derivative,tphi_50us_02,t1_50us_49
0,0.0,0.0,3.2130857598951405e-35
9,0.10385601443729797,1.143720076127134e-06,6.948122595437315e-06
2,1.8161089694075372,2e-05,9.826523146548449e-33
33,0.005920676528603508,6.520177619666722e-08,2.1551972136439297e-33
10,0.0023401543316481366,2.577107839967948e-08,0.0013825535459581887
19,0.09824562450688745,1.0819353481739347e-06,2.958426422195364e-07
25,0.138246954957566,1.5224522017824278e-06,1.4345759366801143e-32
37,0.16278568532968052,1.7926863208300274e-06,6.692446428325564e-35
31,0.030041539826441976,3.3083411108577176e-07,5.569645955903888e-33
23,2.8302826880537424,3.116864390551472e-05,2.231419149521923e-31
16,0.047004191710442456,5.176362487299039e-07,1.2488067956887695e-31
69,0.02129342943391066,2.3449506381610068e-07,2.8324917026243367e-06
18,0.06133879574043988,6.754968647112649e-07,1.912164990232547e-33
40,0.07535149013548903,8.298124331170578e-07,8.567282922964921e-33
46,0.027622955077077904,3.0419931339350465e-07,8.057911017897745e-34
11,0.005542321030560515,6.103511544649843e-08,1.570365995068692e-30
15,0.007638725618264175,8.412188637288798e-08,5.797665775388436e-05
28,0.0007848885985595189,8.643628898717134e-09,3.4182598541747785e-07
57,0.038688000721265325,4.260537376662633e-07,3.324814655655584e-07
47,0.024216428681000934,2.666847539319293e-07,1.901781692135384e-33
42,0.002328047383315379,2.5637749964693477e-08,3.8068560649900444e-33
20,0.007236292834278402,7.969007318585153e-08,1.5623823550458456e-05
62,0.34553424213257244,3.805214862688497e-06,1.1513933134782283e-31
64,0.02167836354161068,2.387341718672612e-07,5.319414382251663e-35
55,0.024184125404502765,2.663290123212405e-07,1.47670592796422e-06
70,0.10388896125590463,1.144082904780719e-06,1.0257156852646051e-09
53,0.02966486637845378,3.2668597400442604e-07,2.9969700878385527e-06
39,0.06439061183627359,7.091051574650779e-07,2.3239649820588188e-07
49,0.05358803814914381,5.901412200681511e-07,9.174210297105967e-09
35,0.018795034240071118,2.0698134921058794e-07,7.076010709217194e-07
51,0.051878799123272756,5.713181312043958e-07,2.0586300096588006e-32
73,0.10288675917280443,1.1330460991706774e-06,2.119225219765335e-33
56,0.010742173611077988,1.1829877823446212e-07,4.9180051028811846e-33
83,0.03268802142386562,3.5997863536271533e-07,2.594842953226793e-32
24,2.684504713005964,2.9563255930416126e-05,3.983987386593973e-07
77,0.048203381570743886,5.308423930802909e-07,2.2635731742160876e-09
76,0.002272982793982692,2.503134814343436e-08,4.379518337953896e-34
86,0.02219932442315553,2.444712822534822e-07,5.7796353517634844e-08
66,0.27374091315834903,3.014586875231948e-06,3.098694397359597e-06
43,0.04260134722144926,4.691496814240937e-07,1.0744942634347172e-07
60,0.38397930724443086,4.228593258582883e-06,1.3910048926895598e-07
95,0.05432761240697914,5.982858222951485e-07,3.105318361602865e-09
92,0.0221870537515656,2.443361508071138e-07,1.2108639900226517e-33
98,0.014474560867228092,1.5940189835580272e-07,1.5984058849773648e-33
79,0.0096734106946883,1.0652896778373408e-07,1.9820496743373805e-33
91,0.015242167808793283,1.6785521205553743e-07,3.110916394600949e-08
101,0.0026320902719589867,2.8986039013040553e-08,6.94087048466876e-07
100,0.009521725374384005,1.0485852484380654e-07,2.5873085444069397e-08
85,0.010005539419211118,1.1018655364578913e-07,2.4381260909874665e-34
106,0.0691660032536845,7.616944183283043e-07,1.7520333894036314e-34
3,1.8160564882094832,1.9999422047917413e-05,1.1200298950682558e-09
81,0.0005583255564545198,6.148590925539676e-09,5.026375139170098e-07
108,1.4400998245172048,1.5859178593088538e-05,1.9268730885418223e-08
67,0.2694549198878349,2.967387138402144e-06,5.399718460511206e-31
116,0.05931863142549787,6.532496939855893e-07,3.830293234883376e-09
154,0.03903333093546735,4.2985670566013515e-07,1.0120596790520855e-33
112,0.030800843799028144,3.3919598788255753e-07,7.048316320143284e-34
130,0.02281414162297324,2.5124199051134933e-07,2.7526969372762566e-09
88,0.08385544240141485,9.234626755769036e-07,5.994726736954285e-33
104,0.24580432286924747,2.706933636800829e-06,6.591258364556435e-09
121,0.008563101786762672,9.430162981416456e-08,6.13355563071656e-35
133,0.04269285138036594,4.701573760113468e-07,4.334946175528084e-34
96,0.007376201377695679,8.123082372201479e-08,6.638713084376776e-34
110,0.05204826611659996,5.731843957973457e-07,1.2384567881240928e-10
113,0.04406806203149927,4.853019590104821e-07,1.041416327749e-07
158,0.03583661066386412,3.946526476938768e-07,1.376124936314478e-33
146,0.034500090691835794,3.799341479282561e-07,9.856328242316546e-08
143,0.0161016071871245,1.7731983552041234e-07,2.942455732206009e-33
123,0.11523994725592956,1.269086262962777e-06,6.019753276424268e-34
132,0.009169840133438356,1.0098336925707495e-07,4.377600630462153e-36
139,0.08469471746508361,9.327052384165394e-07,1.3263536221948215e-08
153,0.04401510145868315,4.847187277869351e-07,3.8379321783397224e-08
102,1.676571432589924,1.846333519443898e-05,3.7786561381979804e-33
186,0.02396018489037033,2.6386285508172763e-07,5.382803056913144e-33
120,0.0006680732553832058,7.35719350145767e-09,2.6506800300047652e-34
118,0.03818004773137318,4.20459877402935e-07,1.1904953169816403e-37
166,0.0035463584850958796,3.905446803946788e-08,2.219800380210369e-35
136,0.027540111538826295,3.0328699436808146e-07,1.0136213604038672e-10
162,0.042421499252043304,4.671690957606176e-07,4.445758800296495e-34
206,0.0026305449765118283,2.8969021361862245e-08,2.1728078654991882e-36
176,0.08507661872414474,9.369109470551097e-07,2.610566517667989e-35
151,0.024313985434787355,2.6775910305337264e-07,1.809562120432136e-34
145,0.04496446311463842,4.951736252842474e-07,2.3625138132162388e-08
170,0.04237641000059966,4.6667254789699075e-07,2.3949614970300763e-34
194,0.005231516588821705,5.761236442247587e-08,2.0831802794335753e-08
192,0.017958512152915773,1.9776910367635396e-07,6.349119743645996e-34
126,0.05348305509755846,5.889850884333891e-07,1.518863537209316e-08
148,0.011295252903664732,1.2438959439035802e-07,1.1092087574493055e-10
232,0.06753634056622104,7.43747668271835e-07,3.5809304786473206e-35
209,0.0016774571918176662,1.8473089666694367e-08,1.6429206543949784e-12
141,0.03997820228107685,4.4026215336757903e-07,2.7682157238638566e-10
196,0.0679493373496598,7.482958180843816e-07,8.475170719398182e-34
220,0.0035100276960520205,3.8654373225160435e-08,5.777689734367463e-35
128,0.0026207499885799734,2.886115351806155e-08,3.438110184172239e-35
253,0.0014130954397728601,1.5561791319535738e-08,7.401320309791609e-15
137,0.18942738437033313,2.0860794981055502e-06,1.9745757414325292e-33
159,0.06225813456239848,6.856211340964715e-07,4.292440700945927e-09
164,0.027239014173119358,2.9997114305322164e-07,3.172334215992192e-09
173,0.03684532646275329,4.057611859576159e-07,4.534975852100839e-09
188,0.0019262430299704647,2.1212857404683778e-08,3.151962404176082e-33
185,0.015956947379436315,1.757267614249149e-07,1.5160500123722632e-09
248,0.015401840897766306,1.6961362073764547e-07,3.4110821313124938e-34
218,0.044440951647573,4.894084264345749e-07,7.357954079199206e-35
205,0.011830342010910044,1.3028229263984546e-07,6.799836566602341e-09
167,0.009521697457159917,1.0485821740383945e-07,4.737056804159275e-10
241,0.010227689543285123,1.1263299411622496e-07,2.4300761799762184e-09
