idx,f_trunc,f_large,p0,p1,p2,p3,p4
0,-2.6439989480123427,-1.7283299082605035,179.9989038639008,0.03218771157981809,0.02133517962194567,-0.006073665781383128,-0.005737174183636418
1,-2.744861147045056,-1.779658177070815,190.00920570872745,0.030476735653898693,0.02016450069708188,-0.005409914713489115,-0.005114642815471226
2,-2.856540688982678,-1.8417383830248224,200.00422203202868,0.028706298379984105,0.01897659165084628,-0.004761052438857589,-0.004506599006397119
3,-2.9363047992215137,-1.9068321650009765,210.00217901120982,0.027280242450960012,0.017955621429089685,-0.004281191982081516,-0.00403603406723731
4,-3.0094531766648736,-1.9601600198920597,220.00525372794834,0.02595355681129293,0.017111244921686447,-0.0038821394884427413,-0.0036688033338137856
5,-3.0810841401544846,-2.0024000654973553,230.0016708467994,0.024632468119574587,0.016302475904258207,-0.0034957023336576205,-0.0033136626810753573
6,-3.1567730408465122,-2.0459862111686773,240.00061228852837,0.02359819078270161,0.01555431385534925,-0.0031862552310813553,-0.003013081626466083
7,-3.212460252315626,-2.0945427591534997,249.99196050029857,0.022700739355940736,0.014921827687392683,-0.0029419561876356756,-0.0027899237340734224
8,-3.262301330254692,-2.1260565902501947,260.00196317269615,0.021721802446453456,0.014321269586940966,-0.0026898762217020564,-0.002563531982607213
9,-3.321672131086938,-2.165697098022549,269.9985509486022,0.020921111481133396,0.013744510698562626,-0.0024783499316108786,-0.002365565265976561
10,-3.377474894684285,-2.1989296037063735,279.9903466283585,0.02013360768798525,0.013242367938501101,-0.002304182203659059,-0.0021835125501974183
11,-3.408280596198391,-2.233648521749689,289.99566071012816,0.019386214822828055,0.012764381718226595,-0.0021446923542678803,-0.002018429794894039
12,-3.460485334875257,-2.262757098608394,300.0082410126022,0.018734898910862746,0.01231573693830082,-0.0019882233000336528,-0.0018846319807375432
13,-3.5028950454862366,-2.2926934026298693,310.00198147943354,0.01811979167408443,0.011903537843069162,-0.001860789961618631,-0.0017547823917933411
14,-3.545301973810959,-2.324864371165273,320.0024463979631,0.017527814992612634,0.01151396982690038,-0.001734219232776809,-0.0016478659720283086
15,-3.5781514504671295,-2.3637012138453732,329.99258977066177,0.016996227181398916,0.0111505476464802,-0.0016298053148758357,-0.0015510805786543946
16,-3.613049643371111,-2.39642307014925,340.00649286476266,0.01648265870029958,0.010829949679830211,-0.0015409104734998079,-0.001462291756723722
17,-3.6531770525032896,-2.418681743073196,349.9923087592835,0.016012349995474507,0.010494531524012377,-0.001447112040084394,-0.001369371681232837
