tg,0-2,1-2,0-5,other
0.0,1.0,0.0,0.0,0.0
0.10016216393442623,0.9999999997753481,9.436796286525805e-12,2.1254009169636461e-10,2.675419390395956e-12
0.20032432786885246,0.9999999939571229,2.685544013994584e-10,5.699292070189071e-09,7.503148161710321e-11
0.3004864918032787,0.9999999764248677,9.692984367450739e-10,2.245464669554811e-08,1.5118801965492606e-10
0.4006486557377049,0.9999999109234754,4.078124049644898e-09,8.423254076105432e-08,7.658599012383546e-10
0.5008108196721311,0.9999998144715372,7.761638607769353e-09,1.7683114845521987e-07,9.35676378620827e-10
0.6009729836065574,0.9999995625576963,2.0505028660683475e-08,4.142503869467619e-07,2.686888911707243e-09
0.7011351475409836,0.9999992955386242,3.036895291487231e-08,6.715594304606983e-07,2.5329927299298397e-09
0.8012973114754098,0.9999986576435745,6.474912843280928e-08,1.272275622546526e-06,5.331676302917517e-09
0.9014594754098361,0.9999981233412744,8.421781684580498e-08,1.7880791782754646e-06,4.3617309117983375e-09
1.0016216393442623,0.9999968350251749,1.5808436858370505e-07,2.999668473155736e-06,7.221983579282831e-09
1.1017838032786886,0.9999959590145849,1.9058801997315592e-07,3.84485814792754e-06,5.539248251646171e-09
1.2019459672131148,0.9999937051091512,3.2772983899023327e-07,5.959434392059637e-06,7.726618129761945e-09
1.3021081311475409,0.9999924627100186,3.770804557202789e-07,7.154209498935388e-06,6.00002700728817e-09
1.4022702950819672,0.9999888973889284,6.066702510853362e-07,1.0487612052533035e-05,8.32876856789074e-09
1.5024324590163936,0.9999873382373337,6.78077197604221e-07,1.1976400562086445e-05,7.2849087224682895e-09
1.6025946229508197,0.9999821104958276,1.0334610203497822e-06,1.684481208082723e-05,1.1231072387327849e-08
1.7027567868852458,0.9999803745263592,1.1352875571536397e-06,1.8478731358039307e-05,1.1454727000736758e-08
1.8029189508196721,0.9999731577846893,1.6520626824722416e-06,2.517347117225231e-05,1.6681458497219275e-08
1.9030811147540985,0.9999714828492514,1.798094455916835e-06,2.6700441749122266e-05,1.8614544505629504e-08
2.0032432786885246,0.9999620008766157,2.5116677531929887e-06,3.546507752510551e-05,2.2378106541623794e-08
2.1034054426229507,0.9999607157865178,2.7240271657777175e-06,3.653397165921676e-05,2.6214659138250597e-08
2.2035676065573773,0.9999487645370284,3.6666569789752106e-06,4.754322313068377e-05,2.558286303360331e-08
2.3037297704918034,0.9999482721534696,3.978753923689652e-06,4.7717618388275174e-05,3.147422084694419e-08
2.4038919344262295,0.9999337340770391,5.176563913483742e-06,6.10634776133703e-05,2.5881435100669176e-08
2.5040540983606556,0.9999344767414602,5.636347225440689e-06,5.985229873566818e-05,3.46125799220319e-08
2.6042162622950817,0.999917332462881,7.10641977503519e-06,7.553505816497353e-05,2.605918079632418e-08
2.7043784262295083,0.9999197485036148,7.7791860500406e-06,7.243295951690999e-05,3.9350821153754154e-08
2.8045405901639344,0.9999000845471939,9.52709918126956e-06,9.035853790278424e-05,2.981572282776267e-08
2.9047027540983605,0.9999045558724253,1.049774684610813e-05,8.48967041095567e-05,4.967662041225539e-08
3.004864918032787,0.9998825681676219,1.2515755624194777e-05,0.00010487825633590447,3.7820420484807154e-08
3.105027081967213,0.9998893651528908,1.3889889886130913e-05,9.667972792052753e-05,6.522930323074643e-08
3.2051892459016393,0.9998653509985144,1.6156395478342327e-05,0.00011844578076791162,4.6825242154926616e-08
3.3053514098360655,0.9998745734789768,1.806046862786257e-05,0.00010728541256331989,8.063983364492009e-08
3.4055135737704916,0.999848927479941,2.0539154178744246e-05,0.00013048031734827107,5.3048533937948356e-08
3.505675737704918,0.9998604512349698,2.3118696512684454e-05,0.0001163394763581357,9.05921594968387e-08
3.6058379016393443,0.9998336152889351,2.5765676238806364e-05,0.0001405631629749263,5.587185229350903e-08
3.7060000655737704,0.9998470452115218,2.9182197008142004e-05,0.00012367670134402837,9.589012690927231e-08
3.806162229508197,0.999819527975934,3.194574032845607e-05,0.00014846781367980688,5.847005987760792e-08
3.906324393442623,0.9998341812732225,3.636841543744808e-05,0.00012934699199292985,1.0331934845523343e-07
4.006486557377049,0.999806538837708,3.9196367377777e-05,0.00015419902989426674,6.576502252878779e-08
4.106648721311475,0.9998213937916174,4.4804088059444624e-05,0.00013368347811336157,1.1864221124975592e-07
4.206810885245901,0.9997942166920408,4.7651519162786784e-05,0.00015805132120462668,8.046759381864536e-08
4.3069730491803275,0.9998079740493203,5.4616278458704805e-05,0.0001372696527397869,1.400194837611659e-07
4.4071352131147545,0.9997818738462343,5.745526028259435e-05,0.00016057106223080322,9.983125253644478e-08
4.507297377049181,0.9997929762653502,6.593589031365563e-05,0.00014092850622355417,1.5933811487012543e-07
4.607459540983607,0.9997685841505469,6.876302167732281e-05,0.0001625349864899114,1.1784128768812423e-07
4.707621704918033,0.9997752790591008,7.889177619238971e-05,0.0001456585491305449,1.7061557658099165e-07
4.807783868852459,0.9997532264680842,8.174258939643681e-05,0.00016489919178502458,1.3175073455125456e-07
4.907946032786885,0.9997536288498374,9.361796998017812e-05,0.00015257694837392255,1.762318088403387e-07
5.008108196721311,0.9997345530561952,9.65741266889416e-05,0.00016872731188038878,1.4550523651903274e-07
5.108270360655737,0.9997267483518076,0.00011024895517474241,0.00016281732682982465,1.8536618952063377e-07
5.2084325245901635,0.9997112804187696,0.00011345065270039396,0.00017510196596591423,1.6696256566020037e-07
5.3085946885245905,0.999693441995552,0.00012892150635929685,0.00017743101020479234,2.0548788633977165e-07
5.408756852459017,0.9996821980054441,0.00013257484777648513,0.00018502567350743484,2.0147327414796147e-07
5.508919016393443,0.9996527021786015,0.00014977739361187684,0.00019728552606718868,2.3490171974923927e-07
5.609081180327869,0.9996462657757935,0.00015415909293456213,0.00019932864296473194,2.464883107229992e-07
5.709243344262295,0.9996038083336225,0.00017296179304604714,0.00022296537458417048,2.6449874846867273e-07
5.809405508196721,0.9996026997214431,0.00017842350905929633,0.00021858389279779856,2.928767006008524e-07
5.909567672131147,0.9995463883758173,0.00019862690883847096,0.00025469634402724875,2.883713200357791e-07
6.009729836065574,0.9995510293659331,0.0002055938300783838,0.00024304233240179766,3.3447158858355154e-07
6.109892,0.9994804638038034,0.00022693315175195455,0.0002922921180103536,3.109264356415236e-07
6.210054163934426,0.9994911309692487,0.0002358987712980091,0.00027259384703042503,3.764124255259465e-07
6.310216327868853,0.9994064697289986,0.0002580522047340327,0.00033513529400564803,3.4277226033578227e-07
