0,1,2,3,4,5,6,7,8,9
"(0, 12)","(10, 0)","(1, 7)","(3, 5)","(7, 1)","(5, 3)","(1, 8)","(6, 1)","(8, 1)","(1, 13)"
"(10, 0)","(0, 12)","(1, 7)","(7, 1)","(6, 1)","(3, 5)","(8, 1)","(12, 1)","(1, 8)","(5, 3)"
"(6, 2)","(4, 4)","(2, 6)","(2, 7)","(5, 4)","(9, 4)","(6, 6)","(10, 4)","(7, 2)","(2, 2)"
"(7, 1)","(5, 3)","(3, 5)","(1, 7)","(10, 0)","(11, 0)","(0, 12)","(9, 0)","(1, 6)","(9, 3)"
"(4, 4)","(6, 2)","(2, 6)","(2, 7)","(7, 2)","(6, 6)","(5, 4)","(4, 5)","(6, 3)","(2, 2)"
"(0, 13)","(1, 12)","(1, 10)","(0, 11)","(1, 9)","(1, 15)","(1, 18)","(4, 4)","(1, 5)","(6, 2)"
"(3, 5)","(7, 1)","(1, 7)","(11, 0)","(5, 3)","(10, 0)","(1, 8)","(9, 0)","(1, 6)","(0, 12)"
"(1, 8)","(11, 0)","(5, 3)","(3, 5)","(8, 1)","(0, 12)","(0, 10)","(1, 7)","(12, 1)","(3, 4)"
"(11, 0)","(1, 8)","(3, 5)","(5, 3)","(7, 1)","(8, 1)","(1, 7)","(12, 1)","(0, 10)","(0, 12)"
"(5, 3)","(3, 5)","(7, 1)","(11, 0)","(1, 8)","(1, 7)","(8, 1)","(6, 1)","(7, 5)","(10, 0)"
"(1, 9)","(0, 14)","(3, 6)","(3, 7)","(0, 11)","(0, 7)","(0, 13)","(3, 14)","(3, 8)","(5, 4)"
"(12, 0)","(9, 1)","(10, 1)","(11, 1)","(13, 0)","(6, 3)","(5, 1)","(20, 1)","(1, 9)","(15, 1)"
"(2, 7)","(4, 5)","(4, 4)","(4, 9)","(6, 3)","(2, 6)","(9, 1)","(4, 12)","(6, 2)","(2, 8)"
"(8, 1)","(11, 0)","(5, 3)","(10, 0)","(3, 5)","(10, 3)","(9, 3)","(7, 1)","(9, 0)","(4, 3)"
"(13, 0)","(11, 1)","(10, 1)","(12, 0)","(15, 1)","(9, 1)","(6, 3)","(20, 1)","(4, 5)","(27, 1)"
"(0, 14)","(1, 9)","(1, 12)","(1, 10)","(3, 6)","(1, 15)","(3, 7)","(1, 22)","(5, 4)","(1, 19)"
"(9, 1)","(6, 3)","(4, 5)","(7, 3)","(14, 0)","(12, 0)","(2, 7)","(7, 0)","(14, 3)","(13, 0)"
"(0, 15)","(1, 13)","(1, 14)","(1, 7)","(1, 11)","(3, 5)","(1, 8)","(1, 26)","(0, 12)","(1, 20)"
"(4, 5)","(6, 3)","(3, 6)","(9, 1)","(7, 2)","(2, 7)","(5, 4)","(2, 8)","(2, 6)","(1, 10)"
"(3, 6)","(7, 2)","(5, 4)","(4, 5)","(6, 3)","(1, 10)","(1, 9)","(9, 1)","(2, 7)","(5, 5)"
"(7, 2)","(3, 6)","(1, 10)","(1, 9)","(5, 5)","(5, 4)","(9, 4)","(6, 3)","(3, 7)","(1, 5)"
"(2, 8)","(6, 3)","(4, 5)","(9, 1)","(4, 10)","(4, 4)","(4, 9)","(10, 1)","(7, 2)","(4, 12)"
"(6, 3)","(4, 5)","(9, 1)","(5, 4)","(2, 8)","(10, 1)","(5, 5)","(2, 7)","(7, 3)","(7, 2)"
"(2, 9)","(4, 7)","(4, 6)","(4, 14)","(4, 8)","(6, 4)","(4, 3)","(4, 11)","(4, 20)","(6, 9)"
